_r _x _y _p EDR3Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS Source SolID RandomI Epoch Plx e_Plx RPlx PM pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF nueff pscol e_pscol RApscolCorr DEpscolCorr PlxpscolCorr pmRApscolCorr pmDEpscolCorr MatchObsA Nper amax MatchObs NewMatchObs MatchObsrm IPDgofha IPDgofhp IPDfmp IPDfow RUWE SDSk1 SDSk2 SDSk3 SDSk4 SDMk1 SDMk2 SDMk3 SDMk4 Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag NBPcont NBPblend NRPcont NRPblend Mode E_BP_RP_ BP-RP BP-G G-RP RVDR2 e_RVDR2 o_RVDR2 Tefftemp loggtemp __Fe_H_temp GLON GLAT ELON ELAT PS1 SDSSDR13 SkyMapper2 URAT1 GmagCorr e_GmagCorr FGCorr E_BP_RP_Corr RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 RADEcorJ2000 BPmag-RPmag e_BPmag-RPmag
0.177571 -0.097196 -0.148608 213.2 "Gaia EDR3 2922114775458180480" 102.14348819802 0.0915 -24.14857719511 0.1471 2922114775458180480 1636042515805110273 660369810 2016.0 0.0002 0.1902 0.0009 2.198 -0.498 0.125 2.141 0.181 -0.0183 0.0171 -0.0457 0.1314 0.2042 0.1447 -0.0940 0.0457 0.0823 0.0319 647 0 644 3 1.1305 708.73 0.408 0.87 31 0 1.463 "" "" "" "" "" "" "" 74 29 0.25195 80 33 0 0.024 1.2e+02 0 0 1.031 0.31 0.36 0.093 0.095 -81.738 -88.055 32.221 -43.541 0 646 485 0.7073 685.624 18.973078 0.003178 76 216.7 4.302 50.382 19.498734 0.021730 71 369.5 4.226 87.416 18.328987 0.012983 0 0 0 1 0 1.209 1.169746 0.525656 0.644091 "" "" 0 "" "" "" 234.4040904068 -11.3436415844 106.3164293842 -46.9023761891 79021021435111936 "" "" "" 18.973078 0.003178 485 -0.025 102.14349062300 2.0102 -24.14858671153 2.9203 0.0184 1.1697676981613156 0.025313028935869748
0.180123 -0.102037 -0.148434 214.5 "Gaia EDR3 2922114779752307712" 102.13818262951 0.2317 -24.14839933832 0.4016 2922114779752307712 1636042515805110273 1535283717 2016.0 0.1348 0.5248 0.2569 5.553 -4.064 0.322 3.784 0.500 -0.0177 0.0817 -0.0545 0.0807 0.2542 0.1182 -0.1663 0.1194 0.0268 0.0653 579 0 579 0 1.1620 681.38 1.223 1.3 95 0 "" 1.2020 0.0888 -0.176 -0.021 -0.160 -0.074 0.084 67 27 0.69653 72 29 1 0.021 1.2e+02 0 0 1.034 0.34 0.41 0.12 0.064 -81.443 -88.697 33.198 43.688 0 585 155.9 0.5711 272.914 20.205470 0.004839 50 42.51 4.075 10.433 21.267267 0.104110 63 180.7 5.227 34.572 19.105509 0.031632 0 0 0 1 0 1.432 2.161758 1.061798 1.099960 "" "" 0 "" "" "" 234.4018533006 -11.3479611410 106.3093650843 -46.9027924549 79021021382912236 "" "" "" 20.193821 0.004804 157.6 0.074 102.13820242555 5.1655 -24.14841615689 8.0742 0.0550 2.1617632085005845 0.10880759920495198
0.176455 -0.098535 -0.146380 213.9 "Gaia EDR3 2922114779756866048" 102.14202227344 0.1183 -24.14634786996 0.1957 2922114779756866048 1636042515805110273 1114812637 2016.0 0.1819 0.2526 0.7202 1.069 0.078 0.164 1.066 0.245 -0.0317 0.0359 -0.0415 0.1032 0.1626 0.1084 -0.1213 0.0431 0.0793 0.0395 618 0 612 6 1.1003 675.87 0.252 0.19 31 0 1.482 "" "" "" "" "" "" "" 71 28 0.34097 77 32 0 0.023 1.3e+02 0 0 1.031 0.33 0.39 0.081 0.072 -76.155 -89.049 33.008 -43.890 0 618 335.9 0.6625 506.984 19.371836 0.003490 70 158.8 5.102 31.119 19.836607 0.035001 69 233 4.759 48.964 18.829504 0.022494 0 0 0 0 0 1.166 1.007103 0.464771 0.542332 "" "" 0 "" "" "" 234.4014540078 -11.3439199906 106.3140868007 -46.9003274521 79021021419454668 "" "" "" 19.371836 0.003490 335.9 -0.051 102.14202189532 2.6319 -24.14635260668 3.9538 0.0291 1.007115375990228 0.04160588045123238
0.181641 -0.104246 -0.148749 215.0 "Gaia EDR3 2922114779756867072" 102.13576217137 0.0156 -24.14871234420 0.0237 2922114779756867072 1636042515805110273 288802290 2016.0 0.4472 0.0296 15.0890 5.897 -2.383 0.022 5.394 0.031 -0.0124 0.0007 -0.0602 0.1563 0.0757 0.1586 -0.2391 0.0544 0.0529 0.0648 637 0 637 0 0.5908 682.66 0.000 0 31 0 1.570 "" "" "" "" "" "" "" 73 30 0.042816 79 34 0 0.021 1.3e+02 0 0 1.016 0.27 0.34 0.11 0.13 -84.000 -85.755 29.514 -36.226 0 642 9263 2.605 3555.293 15.770511 0.002772 75 5125 7.627 671.938 16.064330 0.003224 76 5989 6.347 943.653 15.304467 0.003951 0 3 0 0 0 1.200 0.759862 0.293818 0.466043 "" "" 0 "" "" "" 234.4011976303 -11.3500972124 106.3062128494 -46.9033734592 79021021357501832 "" 48952846 "" 15.770511 0.002772 9263 0.003 102.13577377777 0.3491 -24.14873631596 0.4942 0.0493 0.7598553214639363 0.005099360969122332
0.190155 -0.120379 -0.147200 219.3 "Gaia EDR3 2922114814116607744" 102.11808309273 0.0343 -24.14714941860 0.0541 2922114814116607744 1636042515805110273 160774242 2016.0 0.0276 0.0684 0.4038 1.932 -1.084 0.047 1.599 0.066 0.0420 0.0270 -0.0225 0.1451 0.1848 0.1680 -0.0920 0.0697 0.0646 0.0390 619 0 617 2 0.4240 651.63 0.000 0 31 0 1.579 "" "" "" "" "" "" "" 71 29 0.092045 77 34 0 0.017 1.3e+02 0 0 1.012 0.29 0.38 0.16 0.082 -92.093 -85.009 36.563 37.864 0 613 2167 1.315 1648.444 17.347712 0.002833 76 1222 8.921 137.004 17.620663 0.008402 72 1345 6.57 204.759 16.925907 0.006512 0 1 0 0 0 1.185 0.694756 0.272951 0.421804 "" "" 0 "" "" "" 234.3928457378 -11.3640841976 106.2824988585 -46.9037953440 79021021180743693 "" 48952317 "" 17.347712 0.002833 2167 -0.007 102.11808837259 0.7529 -24.14715652445 1.0667 0.0237 0.6947581667131395 0.010629788582268157
0.174820 -0.103629 -0.140795 216.4 "Gaia EDR3 2922114844177667072" 102.13644573067 0.1108 -24.14075904688 0.1763 2922114844177667072 1636042515805110273 841692896 2016.0 1.3834 0.2285 6.0552 29.934 18.186 0.150 -23.776 0.224 -0.0028 0.0117 -0.0535 0.0788 0.1454 0.1004 -0.1064 0.0637 0.0715 0.0415 613 9 607 6 -0.7734 622.66 0.000 0 95 0 "" 1.2794 0.0437 -0.165 -0.010 -0.070 -0.032 0.050 70 29 0.31074 76 31 0 0.03 1e+02 0 0 0.977 "" "" "" "" "" "" "" "" 0 614 373.9 0.7555 494.904 19.255499 0.003522 67 68.48 4.575 14.970 20.749596 0.072582 67 487.4 5.288 92.171 18.028082 0.012371 0 0 0 0 0 1.487 2.721514 1.494097 1.227417 "" "" 0 "" "" "" 234.3941017885 -11.3461930411 106.3056942745 -46.8954036122 79031021363971382 "" 48952866 "" 19.234098 0.003496 381.3 0.047 102.13635715752 2.4021 -24.14065337542 3.6049 0.0326 2.7215085087301176 0.07362918919332985
0.175392 -0.106240 -0.139554 217.3 "Gaia EDR3 2922114844177668096" 102.13358546552 0.1506 -24.13951590879 0.2394 2922114844177668096 1636042515805110273 182425625 2016.0 1.6561 0.3096 5.3489 4.814 0.391 0.201 4.798 0.290 0.0440 0.0531 -0.0369 0.1148 0.1934 0.1507 -0.0414 0.0806 0.0669 0.0398 607 0 605 2 1.8584 718.97 1.056 2.5 95 0 "" 1.2651 0.0584 -0.149 -0.007 -0.107 -0.028 0.080 70 29 0.40132 76 32 0 0.018 1.1e+02 0 0 1.054 0.35 0.37 0.088 0.1 -78.332 -84.014 37.470 37.725 0 609 282.7 0.6732 419.902 19.559100 0.003779 62 54.38 4.728 11.501 20.999987 0.094443 69 362.9 5.815 62.409 18.348434 0.017803 0 0 0 0 0 1.476 2.651552 1.440888 1.210665 "" "" 0 "" "" "" 234.3918336134 -11.3480403914 106.3016806917 -46.8944892149 79031021335992906 "" 48952865 "" 19.538852 0.003746 288 0.047 102.13358356285 3.2263 -24.13953723326 4.6483 0.0265 2.65155607380294 0.09610594033883345
0.177641 -0.110692 -0.138937 218.5 "Gaia EDR3 2922114848474566272" 102.12870725219 0.7675 -24.13889556324 1.3355 2922114848474566272 1636042515805110273 1007594545 2016.0 "" "" "" "" "" "" "" "" -0.0309 "" "" "" "" "" "" "" "" "" 179 0 178 1 7.8708 363.49 3.817 3.8 3 0 "" "" "" "" "" "" "" "" 21 11 2.0955 22 11 0 0.034 1.6e+02 1 0 "" 0.57 0.36 0.058 0.21 -90.787 -85.815 -38.448 43.122 0 174 82.65 0.9038 91.451 20.894207 0.012188 16 47.31 9.095 5.202 21.151155 0.208749 19 78.25 8.01 9.769 20.014158 0.111204 0 0 0 0 0 1.519 1.136997 0.256948 0.880049 "" "" 0 "" "" "" 234.3893537361 -11.3518206405 106.2951040838 -46.8944180933 79031021286953631 "" "" "" 20.894207 0.012188 82.65 0.289 102.12870725219 0.7675 -24.13889556324 1.3355 -0.0309 1.1370029133567066 0.23652312245077828
0.178466 -0.104887 -0.144391 216.0 "Gaia EDR3 2922114848476343168" 102.13506363763 0.0232 -24.14435417036 0.0360 2922114848476343168 1636042515805110273 900104199 2016.0 0.0935 0.0456 2.0506 3.013 -0.145 0.032 3.010 0.046 0.0069 0.0176 -0.0405 0.1307 0.0669 0.1351 -0.1891 0.0684 0.0150 0.0600 629 0 626 3 -3.0096 543.65 0.000 0 31 0 1.471 "" "" "" "" "" "" "" 72 30 0.064538 78 34 0 0.024 1.2e+02 0 0 0.915 0.28 0.36 0.12 0.09 -79.936 -85.895 32.638 -38.941 0 629 4279 1.743 2454.341 16.609098 0.002791 76 1909 7.241 263.589 17.136770 0.004975 71 3366 5.996 561.311 15.930154 0.004246 0 2 0 2 0 1.233 1.206616 0.527672 0.678945 "" "" 0 "" "" "" 234.3968901118 -11.3488466783 106.3045063108 -46.8991260594 79021021350487059 "" 48952847 "" 16.609098 0.002791 4279 -0.004 102.13506434534 0.5128 -24.14436754610 0.7473 0.0468 1.2066124209026778 0.006540346649460177
0.184428 -0.117898 -0.141823 219.7 "Gaia EDR3 2922114848476344448" 102.12080822592 0.0419 -24.14177513968 0.0656 2922114848476344448 1636042515805110273 89134210 2016.0 0.3768 0.0857 4.3987 0.412 0.216 0.058 0.351 0.079 0.0131 -0.0056 -0.0567 0.1464 0.2116 0.1737 -0.1221 0.0832 0.0663 0.0535 620 0 618 2 -0.2425 628.79 0.000 0 31 0 1.546 "" "" "" "" "" "" "" 71 29 0.11053 77 35 0 0.017 1.2e+02 0 0 0.993 0.31 0.36 0.16 0.091 -91.752 -85.316 32.856 42.858 0 625 1572 1.092 1439.920 17.696095 0.002857 74 824.7 6.483 127.202 18.047827 0.008980 74 1047 8.031 130.411 17.197628 0.009143 0 2 0 1 0 1.191 0.850199 0.351732 0.498466 "" "" 0 "" "" "" 234.3889343062 -11.3595718611 106.2851496726 -46.8981574134 79031021207890167 "" 48952331 "" 17.696095 0.002857 1572 -0.013 102.12080717420 0.9240 -24.14177669823 1.2799 0.0374 0.8502145178279044 0.012815417024334074
