EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 5588753660517097344,0.128323,-0.149198,114.84644429395,-33.99244051319,-0.2373,0.3248,0.332,0.287,-0.21,0.306,19.77094,0.004389,1.880085,0.09064259408501231
Gaia EDR3 5588753660517105024,0.134503,-0.14553,114.85389110008,-33.98876313499,0.3462,0.1532,-0.993,0.136,0.989,0.151,18.660099,0.003358,1.65766,0.04312690117095357
Gaia EDR3 5588753660517112448,0.128534,-0.143088,114.8466882756,-33.98632998165,0.2696,0.1094,-0.525,0.104,-0.135,0.107,18.108027,0.003024,1.564741,0.018380412783212462
Gaia EDR3 5588753660517120128,0.131762,-0.139724,114.85057459545,-33.98296186247,0.0617,0.3056,-0.93,0.265,4.186,0.28,19.606918,0.004047,1.630629,0.08050265034778535
Gaia EDR3 5588753664808622336,0.134222,-0.146477,114.85355409962,-33.98971073845,,,,,,,20.974699,0.015538,0.222561,0.4095205761018081
Gaia EDR3 5588753664808649728,0.12854,-0.148671,114.84670591952,-33.99191336648,-0.6121,0.8573,-1.477,0.632,1.37,0.784,20.693382,0.008847,3.056559,0.0662735520575613
Gaia EDR3 5588753664808654336,0.126745,-0.149964,114.84454299788,-33.99320937118,-0.1489,0.4023,-0.754,0.344,2.451,0.372,20.027142,0.00469,1.51465,0.1096238883019145
Gaia EDR3 5588753664812521472,0.12683,-0.149331,114.84464382132,-33.99257598246,-0.2836,0.3706,-1.114,0.325,2.795,0.342,19.933048,0.004857,1.323412,0.12215846924890503
Gaia EDR3 5588753664812997760,0.133218,-0.141054,114.85233288523,-33.98428933592,0.0564,0.7021,-0.992,0.546,0.633,0.679,20.530542,0.007394,1.517481,0.15826038130082798
Gaia EDR3 5588753664816496768,0.126263,-0.14879,114.84395908535,-33.99203545307,0.0824,0.1196,-1.505,0.112,1.966,0.116,18.321308,0.003058,1.934826,0.02677939064371866
Gaia EDR3 5588753694876851584,0.148297,-0.142671,114.87052229745,-33.98588092409,0.3672,0.102,-1.138,0.098,4.355,0.101,18.028763,0.002987,1.604307,0.01811886964214792
Gaia EDR3 5588753699168300928,0.148611,-0.143709,114.87090214606,-33.9869182906,-1.1437,1.6127,0.86,1.221,8.312,1.474,20.843271,0.014754,1.630491,0.32696964266336254
Gaia EDR3 5588753699168304512,0.149699,-0.148351,114.87222473133,-33.9915585898,-0.8341,0.6965,0.455,0.624,1.497,0.737,20.577957,0.00868,1.538452,0.16856956015541927
Gaia EDR3 5588753699168327296,0.143731,-0.146412,114.86502311361,-33.98963024606,0.5074,0.3088,-2.136,0.272,2.255,0.298,19.737074,0.004413,2.000248,0.08154064552193444
Gaia EDR3 5588753699176221952,0.144324,-0.148141,114.86574135525,-33.99135837369,0.4109,0.0499,-0.887,0.047,-0.108,0.05,16.769932,0.002823,1.381731,0.008295334387547626
Gaia EDR3 5588753763596326144,0.144546,-0.144271,114.86600110857,-33.98748731305,0.5633,0.0841,-1.939,0.079,1.736,0.08,17.667658,0.002932,1.534777,0.013978367426755641
