EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 5515991245164191104,0.140433,-0.14894,124.91963217551,-47.93875544729,0.2273,0.0263,-3.904,0.029,5.923,0.031,15.386841,0.002774,0.953734,0.0069965465946636544
Gaia EDR3 5515991249463862016,0.139022,-0.149845,124.91753047985,-47.93966468756,0.3673,0.3419,-3.446,0.352,5.331,0.385,19.825293,0.00491,1.64982,0.0839342514968751
Gaia EDR3 5515991249463863936,0.136949,-0.149677,124.91443546111,-47.93950176093,0.2922,0.1308,-1.635,0.14,3.088,0.155,18.635172,0.00335,1.315153,0.03136269640347122
Gaia EDR3 5515991249467383168,0.140423,-0.149337,124.91961952475,-47.93915219875,0.5152,0.1698,-2.658,0.254,2.876,0.169,18.41727,0.003768,,
Gaia EDR3 5515991249467384832,0.137564,-0.14794,124.91534673221,-47.9377630073,0.4655,0.0158,-4.34,0.017,3.434,0.019,14.333471,0.002762,1.224234,0.004902073626437594
Gaia EDR3 5515991249467385856,0.134915,-0.147963,124.91139261219,-47.93779358255,0.0849,0.1454,-2.584,0.151,3.488,0.162,18.754427,0.003359,1.359163,0.029544532304274954
Gaia EDR3 5515991279523937664,0.140183,-0.146773,124.91925122272,-47.93658924239,-0.2038,0.6787,-2.397,0.621,2.464,0.675,20.397856,0.007579,1.107521,0.15385891167037133
Gaia EDR3 5515991279523945856,0.14935,-0.14407,124.93292130616,-47.93386062514,0.2678,0.159,-2.006,0.168,4.471,0.187,18.892864,0.003502,1.569151,0.045967818873953493
Gaia EDR3 5515991279523945984,0.144963,-0.144328,124.92637540111,-47.9341311263,0.5965,0.1965,-3.493,0.206,5.335,0.21,19.006464,0.003673,1.32827,0.039604344296359804
Gaia EDR3 5515991279523958912,0.149794,-0.140798,124.93357019756,-47.93058727215,0.635,0.2287,-3.941,0.242,3.418,0.253,19.314747,0.003851,1.465334,0.07161198744686183
Gaia EDR3 5515991279523969024,0.148076,-0.138363,124.93099630435,-47.92815742745,0.1771,0.2381,-1.692,0.253,3.486,0.283,19.361917,0.003936,1.257412,0.05001584137127014
Gaia EDR3 5515991279533413888,0.144467,-0.146789,124.92564504731,-47.93659362621,-0.2271,0.2211,-1.725,0.224,3.53,0.246,19.325575,0.003933,1.187101,0.045855250697387086
Gaia EDR3 5515991283823584000,0.149972,-0.144163,124.93385064873,-47.93395150937,-0.3377,0.4936,-0.497,0.507,3.737,0.601,20.247534,0.006803,1.605654,0.3112861102239482
Gaia EDR3 5515991283823584256,0.148967,-0.144026,124.93235037764,-47.93381789798,,,,,,,20.869118,0.018581,,
Gaia EDR3 5515991283823595520,0.140288,-0.145861,124.91940392915,-47.9356766686,-0.5222,0.4571,-3.592,0.478,6.283,0.509,20.140268,0.006733,2.249102,0.13311539781141135
Gaia EDR3 5515991283823598208,0.140743,-0.149334,124.92009730212,-47.93914910089,0.4389,0.6404,-3.33,0.723,4.462,1.055,20.18699,0.009347,,
Gaia EDR3 5515991283824278016,0.139407,-0.143975,124.91808162605,-47.93379287103,,,,,,,20.911764,0.018243,2.108715,0.25053716761919786
Gaia EDR3 5515991283824278400,0.142198,-0.144433,124.92224914793,-47.93424373925,,,,,,,20.972696,0.017112,0.729162,0.4657710359231602
Gaia EDR3 5515991283824279680,0.148888,-0.145647,124.93223859699,-47.93543895608,1.5953,1.6924,-0.962,1.4,10.573,3.044,20.85963,0.016136,0.610908,0.2856749178222106
Gaia EDR3 5515991283824280832,0.14684,-0.148347,124.92919312141,-47.93814519803,1.0938,1.1573,-2.494,1.082,0.813,2.429,20.762703,0.011789,1.154404,0.24020952093726372
Gaia EDR3 5515991283827118080,0.147971,-0.149506,124.93088667468,-47.93930070965,0.0944,0.2123,-4.537,0.216,4.64,0.231,19.253674,0.003856,1.401388,0.04651927689082726
Gaia EDR3 5515991283827187072,0.148098,-0.134836,124.93101365742,-47.92463036912,0.6097,0.4018,-2.263,0.439,4.963,0.452,19.946419,0.005414,1.378067,0.11625460011504413
Gaia EDR3 5515991283827187328,0.143283,-0.141822,124.92385732346,-47.9316293763,0.7321,0.5563,-2.59,0.519,2.89,0.664,20.312037,0.00663,1.355087,0.12930839002643366
Gaia EDR3 5515991283829740288,0.147648,-0.133992,124.93033849734,-47.92378729547,1.1407,0.585,-4.344,0.551,-6.593,0.641,20.19574,0.006081,2.264658,0.2723528961609009
Gaia EDR3 5515991386903293952,0.14945,-0.129692,124.93300923172,-47.91948276376,-0.3163,0.8191,-3.271,0.699,5.859,0.814,20.511602,0.008329,1.418152,0.20567102348978963
Gaia EDR3 5515991623121317120,0.123086,-0.148285,124.89373593976,-47.93814460541,0.5822,0.4169,-3.112,0.392,3.927,0.486,20.009274,0.005481,1.195515,0.10327756479460812
