EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 2929009611026877952,-0.055141,-0.149469,105.71195532187,-20.96646538606,-0.3285,0.7406,4.406,0.672,-9.61,0.846,20.261936,0.005668,1.175747,0.10262570772957261
Gaia EDR3 2929009778519208320,-0.077331,-0.149827,105.68819202839,-20.96681334514,-0.0359,0.1586,1.855,0.128,1.608,0.16,18.598907,0.003095,1.193872,0.03140186305612738
Gaia EDR3 2929009812878954112,-0.066073,-0.146824,105.70024913608,-20.96381517109,0.0604,0.339,-0.481,0.273,2.146,0.348,19.601055,0.003917,1.067724,0.05957620173149391
Gaia EDR3 2929009812878960384,-0.075288,-0.145961,105.69038156918,-20.9629483288,0.4904,0.1418,-0.724,0.119,-1.672,0.148,18.461628,0.003083,1.352358,0.02346831014993504
Gaia EDR3 2929009812878960896,-0.063707,-0.144367,105.70278474459,-20.96135942383,0.5188,0.0642,-2.733,0.054,4.157,0.066,17.137304,0.002818,1.123754,0.009669371487254726
Gaia EDR3 2929009812878963456,-0.066479,-0.142593,105.69981620526,-20.95958459568,-0.2194,0.255,-0.177,0.207,0.937,0.266,19.301378,0.003533,1.128479,0.036011275502028955
Gaia EDR3 2929009817178272256,-0.071334,-0.141166,105.69461816889,-20.95815550363,0.364,0.3864,-0.686,0.313,0.833,0.408,19.821657,0.004061,1.173216,0.07285042917281505
Gaia EDR3 2929009817178275968,-0.064854,-0.147762,105.70155417348,-20.96475448406,,,,,,,20.815708,0.009264,1.229685,0.2047937440213496
Gaia EDR3 2929009817178276224,-0.068546,-0.145188,105.69760210802,-20.96217799218,0.2666,0.323,-0.395,0.26,2.455,0.337,19.58601,0.003787,1.199329,0.05474743745517779
Gaia EDR3 2929009817178282496,-0.07142,-0.145742,105.6945235608,-20.96273130623,0.7655,0.6474,0.221,0.574,-4.32,0.81,20.426422,0.006266,1.55592,0.127008507155358
Gaia EDR3 2929009817178286592,-0.071094,-0.14751,105.69487255302,-20.96449885078,0.8126,0.7102,2.298,0.628,-2.601,0.98,20.500645,0.006533,1.697666,0.10769924576569757
Gaia EDR3 2929009817180665600,-0.071586,-0.143408,105.69434720314,-20.96039672965,,,,,,,20.965658,0.013823,0.678614,0.22012785617031055
Gaia EDR3 2929009817184743936,-0.076509,-0.144445,105.68907533449,-20.9614314613,0.1998,0.053,-0.59,0.046,3.991,0.059,16.735743,0.002804,1.062746,0.007515163089958594
Gaia EDR3 2929009817185919232,-0.061386,-0.145205,105.7052691171,-20.96219831875,-0.1602,0.3243,-1.811,0.258,5.214,0.332,19.517715,0.003766,1.512804,0.05745447647982032
Gaia EDR3 2929009817185919744,-0.064084,-0.143971,105.70238103629,-20.96096331747,,,,,,,20.84946,0.012591,,
Gaia EDR3 2929009847238685568,-0.087067,-0.149444,105.6777655392,-20.96642482896,0.8883,0.1202,-4.409,0.097,-1.197,0.122,18.247011,0.002985,1.735874,0.020360800271422164
Gaia EDR3 2929009847238689408,-0.087457,-0.147712,105.67734958973,-20.96469263529,0.2903,0.2009,-0.567,0.159,2.42,0.207,18.980127,0.003225,1.208536,0.0340760419767225
Gaia EDR3 2929009847238693248,-0.079204,-0.146415,105.68618815967,-20.96340060008,2.5452,0.2517,-4.375,0.2,0.038,0.251,19.081425,0.003485,2.60898,0.07410115181712766
Gaia EDR3 2929009847238702080,-0.087624,-0.142438,105.6771736145,-20.95941807828,0.3386,0.2472,0.594,0.2,1.462,0.266,19.059599,0.003853,1.221672,0.03074268633365994
Gaia EDR3 2929009847238706432,-0.081944,-0.141075,105.68325730927,-20.95805858408,0.8488,0.2361,-5.455,0.196,8.061,0.258,19.150877,0.003419,1.886614,0.05686413426073786
Gaia EDR3 2929009847238706944,-0.086628,-0.14031,105.67824124284,-20.9572907039,2.0567,0.537,0.031,0.424,0.47,0.567,20.054995,0.005472,1.530245,0.08077944989822049
Gaia EDR3 2929009847238709760,-0.088101,-0.139466,105.67666415786,-20.95644618547,0.1429,0.2196,-0.873,0.18,3.827,0.231,18.994448,0.003331,1.121626,0.03269350746581188
Gaia EDR3 2929009847238980096,-0.088429,-0.14964,105.67630664856,-20.96661961523,1.0558,0.2023,-5.763,0.163,3.287,0.206,18.872993,0.00334,2.096499,0.036894728596970974
Gaia EDR3 2929009851538088448,-0.091165,-0.149377,105.6733770619,-20.9663553988,1.7187,1.0288,-1.493,0.794,3.046,1.106,20.668863,0.007617,1.117878,0.14200345330911918
Gaia EDR3 2929009851540210432,-0.095795,-0.1436,105.6684232175,-20.96057594398,,,,,,,20.848774,0.010871,1.571304,0.3074445659491056
Gaia EDR3 2929009851540249344,-0.094449,-0.146377,105.66986194115,-20.96335288524,,,,,,,20.921474,0.014171,0.683176,0.2154181358572385
Gaia EDR3 2929009851544485632,-0.082846,-0.142427,105.6822897366,-20.95941048351,0.0385,0.0769,-0.395,0.066,1.242,0.084,17.453802,0.002863,0.829397,0.009723239558824244
Gaia EDR3 2929009851544498432,-0.093544,-0.147959,105.67083002242,-20.96493568449,0.4644,0.092,-2.777,0.077,5.097,0.1,17.827408,0.002915,1.239529,0.013383750165148455
Gaia EDR3 2929009881598448896,-0.078117,-0.138998,105.68735612739,-20.95598335002,0.9802,0.1662,-5.456,0.14,9.091,0.172,18.75369,0.003168,1.870865,0.048432571406792635
