EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 5523228402499658496,0.109482,-0.149948,129.10161905703,-43.76985342009,0.1319,0.0651,-2.258,0.069,1.867,0.077,17.437706,0.002925,2.754023,0.027143683544613748
Gaia EDR3 5523228402499664128,0.114985,-0.147086,129.10923189625,-43.76698205552,0.2889,0.1202,-4.368,0.12,6.062,0.153,18.43939,0.003165,1.826616,0.032577349388865515
Gaia EDR3 5523228402499668608,0.111956,-0.145617,129.1050331008,-43.76551800103,0.4809,0.2321,-5.764,0.225,5.125,0.289,19.439447,0.003991,2.672014,0.12878184234617426
Gaia EDR3 5523228402499675264,0.109736,-0.144743,129.10195663491,-43.76464884409,0.2378,0.1309,-3.753,0.133,3.745,0.16,18.6292,0.003304,1.919546,0.04126428903142605
Gaia EDR3 5523228402499681024,0.110229,-0.141262,129.10263079469,-43.76116690225,0.3097,0.1679,-2.697,0.164,2.942,0.196,18.957323,0.0035,1.769287,0.04855026445670793
Gaia EDR3 5523228402499688320,0.111452,-0.137532,129.10431496792,-43.75743401903,0.8404,0.1572,-3.283,0.159,3.294,0.202,18.790651,0.003328,2.511782,0.06332557806522401
Gaia EDR3 5523228406799828864,0.110628,-0.14,129.10317997265,-43.75990387735,-0.15,0.3235,-1.424,0.314,1.122,0.396,19.847662,0.004773,2.0674,0.11551169813818987
Gaia EDR3 5523228406799832064,0.107124,-0.148808,129.09834988279,-43.76871771796,1.6256,1.3095,-0.882,0.964,4.642,1.346,20.795637,0.009801,1.587509,0.22620021939874105
Gaia EDR3 5523228406799834368,0.108841,-0.146456,129.10072251776,-43.76636279249,1.1367,0.3423,-4.456,0.338,4.024,0.369,19.940424,0.004829,2.181751,0.11064486792894984
Gaia EDR3 5523228406799837056,0.111655,-0.141565,129.10460631712,-43.76146660222,-0.5138,1.0731,-2.924,0.813,4.893,1.588,20.751675,0.01025,1.588825,0.26270486808500515
Gaia EDR3 5523228406799847168,0.110064,-0.14788,129.10241941084,-43.76778528713,,,,,,,20.95463,0.024123,1.651749,0.5261764987697948
Gaia EDR3 5523228406799864960,0.115732,-0.141467,129.11025164322,-43.76136111304,,,,,,,20.975208,0.016799,1.236122,0.24355874048187606
Gaia EDR3 5523228406799872640,0.1138,-0.149187,129.10759649134,-43.76908509711,-0.1299,0.5018,-3.04,0.48,2.868,0.68,20.204067,0.005784,1.754654,0.13341437704944337
Gaia EDR3 5523228406804907904,0.108032,-0.147247,129.09960403985,-43.76715526629,0.2205,0.1083,-2.194,0.115,2.605,0.126,18.361755,0.003117,1.813446,0.027246662757470307
Gaia EDR3 5523228406804908288,0.110457,-0.143128,129.10295197584,-43.76303175444,0.6076,0.0906,-1.787,0.088,1.546,0.114,17.864641,0.002979,1.679976,0.019304835305687995
Gaia EDR3 5523228406804913664,0.115454,-0.140218,129.10986250882,-43.76011307411,0.5085,0.0233,-4.913,0.025,4.898,0.031,14.852577,0.002769,1.236307,0.005015455898989795
