EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,V,eV,BV,eBV,UB,eUB,VI,eVI
Gaia EDR3 5538875900371205760,-0.173103,-0.132733,118.37601737408,-38.34501061213,2.1989,0.0125,-8.105,0.014,3.584,0.014,10.630443,0.002767,0.31271,0.004764681101605857,10.514,0.027,0.219,0.037,0.156,0.047,0.068,0.06
Gaia EDR3 5538905449747225088,-0.17551,0.104451,118.37367685688,-38.10782179357,2.6762,0.0137,6.36,0.013,-0.892,0.016,11.323466,0.002771,0.873291,0.004745809309274868,11.336,0.031,0.777,0.039,-0.067,0.027,0.54,0.061
Gaia EDR3 5538151768887381120,0.051006,0.05413,118.66159777124,-38.15833603918,1.1253,0.0149,-6.972,0.015,7.566,0.016,11.232571,0.002778,1.325144,0.004756805755966918,11.559,0.038,0.985,0.046,1.084,0.031,0.994,0.056
Gaia EDR3 5538909504196118272,0.059832,0.211488,118.67265868349,-38.00097219563,1.868,0.0097,-2.335,0.009,-5.655,0.011,11.912118,0.002758,0.785654,0.004760809279943904,12.076,0.038,0.624,0.054,0.111,0.051,0.68,0.056
Gaia EDR3 5538902975846119168,0.019239,0.12651,118.62117362846,-38.08597129341,1.3847,0.0387,2.85,0.038,-28.257,0.046,11.53116,0.002762,1.245503,0.004741805774175066,11.813,0.038,0.968,0.044,0.995,0.04,1.025,0.05
Gaia EDR3 5538157884920783616,0.058537,0.091145,118.67113792236,-38.12131549717,0.7838,0.0151,-3.608,0.015,6.041,0.017,12.382031,0.002761,0.574076,0.004745213693818225,12.459,0.031,0.322,0.036,0.355,0.027,0.409,0.048
Gaia EDR3 5538158636530303616,0.107041,0.172627,118.73264069993,-38.03977897262,2.1204,0.0089,-7.819,0.008,4.517,0.01,12.103674,0.002759,0.874836,0.004732203081018396,12.333,0.047,0.614,0.055,0.292,0.037,,
Gaia EDR3 5538906888554974208,-0.096369,0.188132,118.47439531982,-38.02428880564,0.7444,0.0097,-0.743,0.009,2.642,0.011,12.238964,0.002762,0.815762,0.004747429725651555,12.406,0.052,0.524,0.06,0.223,0.041,0.709,0.085
Gaia EDR3 5538875724267579264,-0.146095,-0.154816,118.41039623665,-38.36715290615,0.7268,0.0102,-1.04,0.011,4.181,0.012,12.502553,0.002763,0.773026,0.004746805768092897,12.494,0.038,0.55,0.043,0.309,0.034,0.589,0.066
Gaia EDR3 5538876823779201920,-0.178584,-0.09341,118.36915239413,-38.30567454647,2.2839,0.043,-5.192,0.051,9.522,0.046,12.778212,0.002839,1.005178,0.006341164877213019,12.606,0.032,0.743,0.039,0.31,0.029,0.729,0.074
Gaia EDR3 5538875728575645568,-0.143003,-0.148779,118.4143551073,-38.36112194678,1.1429,0.2025,-4.496,0.217,-2.608,0.233,12.661393,0.003108,1.003912,0.004842064229231165,12.588,0.019,0.795,0.024,0.278,0.027,0.758,0.047
Gaia EDR3 5538909332397708032,0.090717,0.189672,118.71188771123,-38.02275643812,0.6676,0.016,-0.175,0.015,2.061,0.019,11.399469,0.002773,1.6617,0.004768602835212847,11.97,0.049,1.391,0.061,1.092,0.041,1.448,0.075
Gaia EDR3 5538156609305743104,0.11851,0.040947,118.7474751439,-38.17144077421,0.7627,0.01,-0.564,0.01,-0.275,0.011,11.818291,0.00276,1.543023,0.004751034097962253,12.276,0.029,1.195,0.035,1.101,0.028,1.284,0.051
Gaia EDR3 5538904590753771904,-0.163339,0.066419,118.38903554055,-38.14588220205,1.1443,0.0112,-4.899,0.011,9.236,0.012,13.071843,0.002763,0.788013,0.004742600341584772,13.171,0.026,0.554,0.029,-0.019,0.015,0.598,0.036
Gaia EDR3 5538873976221313664,-0.18309,-0.208051,118.36304013961,-38.42030428605,0.7836,0.0119,-0.421,0.013,-4.416,0.013,12.562592,0.002765,1.73049,0.015653314153878085,12.91,0.038,0.693,0.045,0.42,0.037,0.804,0.064
Gaia EDR3 5538876961218154880,-0.215877,-0.090749,118.32163757324,-38.30291237099,0.7038,0.0103,-2.444,0.011,0.836,0.013,11.693178,0.002763,1.73094,0.004783913878823489,12.14,0.019,1.487,0.026,1.202,0.025,1.499,0.065
Gaia EDR3 5538146821085095552,0.087352,-0.089486,118.70804164287,-38.30191746247,3.632,0.0125,-19.845,0.012,-26.238,0.013,12.883516,0.002762,1.135313,0.004789489012410405,13.091,0.025,0.835,0.031,0.354,0.024,1.011,0.036
Gaia EDR3 5538906136941973760,-0.173701,0.143343,118.37609220905,-38.06893493288,0.9741,0.0111,-2.247,0.01,3.153,0.012,13.374626,0.002765,0.74809,0.0048030644384600965,13.458,0.023,0.59,0.03,-0.001,0.023,0.52,0.035
Gaia EDR3 5538876720699988224,-0.190543,-0.114428,118.35384195697,-38.32666275826,0.8114,0.0101,-0.736,0.011,5.134,0.011,12.106732,0.00276,1.739894,0.004767553041131268,12.538,0.014,1.53,0.018,1.485,0.024,1.418,0.061
Gaia EDR3 5538900673743683968,-0.082055,0.004273,118.49230389235,-38.20816472105,4.3163,0.0151,-21.756,0.015,-36.669,0.016,12.919006,0.002763,1.100412,0.0047954405428490094,13.095,0.027,0.864,0.033,0.756,0.027,0.857,0.056
Gaia EDR3 5538900501947751808,-0.033381,0.01028,118.55425198944,-38.2021965933,-1.1445,0.4199,3.202,0.435,-12.387,0.47,13.554496,0.004721,0.88352,0.005360140016827919,13.492,0.023,0.569,0.029,0.11,0.022,0.708,0.033
Gaia EDR3 5538149604223964928,-0.001819,-0.02838,118.5944137829,-38.24086393584,0.6931,0.0121,-2.098,0.012,0.924,0.016,12.756553,0.002766,1.424176,0.004794560250951071,13.135,0.023,1.017,0.027,0.654,0.023,1.282,0.03
Gaia EDR3 5538873495189572992,-0.237548,-0.241329,118.2933925662,-38.45342369895,0.6708,0.0105,-2.623,0.011,0.79,0.014,13.146783,0.002762,0.825251,0.004790132044109014,13.407,0.035,0.46,0.043,0.914,0.04,0.582,0.046
Gaia EDR3 5538902116852672384,-0.009961,0.048593,118.5840609459,-38.16389065165,0.5889,0.0129,-4.17,0.013,4.834,0.014,13.636509,0.002763,0.72917,0.0048319086291029965,13.705,0.029,0.418,0.035,0.226,0.026,0.559,0.039
