EDR3Name _x _y RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP e_BP-RP probs_final
"Gaia EDR3 5246365533465935488" 0.114412 -0.144001 151.07966563009 -64.8937624001 0.4373 0.0733 -5.224 0.094 3.786 0.074 17.496513 0.002924 1.048372 0.011600761324968612 0.0
"Gaia EDR3 5246365533467600128" 0.119112 -0.148197 151.09078454403 -64.89793739009 1.4329 0.1419 -16.388 0.2 10.764 0.158 18.594032 0.003376 2.520561 0.06380908102848899 0.0
"Gaia EDR3 5246365537768914048" 0.109289 -0.148282 151.06763075088 -64.89806502778 0.2293 0.1727 -5.658 0.236 2.869 0.186 18.852976 0.003713 0.891012 0.03669142131551757 0.0
"Gaia EDR3 5246365537768918272" 0.111464 -0.146809 151.07274453663 -64.89658231173 0.0706 0.1886 -2.703 0.249 2.592 0.202 19.010519 0.003957 0.926203 0.03334183295600907 0.0
"Gaia EDR3 5246365537768919680" 0.115442 -0.148051 151.08213376594 -64.89780783811 0.4952 0.3327 -1.13 0.449 0.642 0.403 19.871803 0.005417 1.146549 0.06857822297325993 0.0
"Gaia EDR3 5246365537768919936" 0.113919 -0.14625 151.07852444763 -64.89601329455 -0.4394 0.2523 -2.652 0.346 2.66 0.281 19.48225 0.004552 1.455277 0.07200423926323528 0.0
"Gaia EDR3 5246365537768920704" 0.117363 -0.148572 151.0866656965 -64.89832093746 0.9376 0.4155 -4.572 0.612 4.517 0.477 20.079445 0.005889 1.697412 0.12245484619892798 0.0
"Gaia EDR3 5246365537768921216" 0.118722 -0.148698 151.08987234137 -64.89844065314 0.3033 0.2209 -4.558 0.276 3.063 0.231 19.319542 0.004307 1.126488 0.07095920786894341 0.0
"Gaia EDR3 5246365537770949888" 0.114559 -0.144689 151.08001886532 -64.89444964123 -0.584 0.5042 -7.208 0.896 4.409 0.641 20.238672 0.007607 1.480911 0.19337852003688497 0.0
"Gaia EDR3 5246365537781041664" 0.109712 -0.147569 151.06862152232 -64.89735023003 0.0412 0.0413 -3.47 0.051 2.464 0.043 16.391094 0.002802 1.30876 0.006594152679624261 0.0
"Gaia EDR3 5246365537781041792" 0.11142 -0.1486 151.07265816186 -64.89837392269 0.1057 0.0472 -6.532 0.06 4.174 0.051 16.725399 0.002836 0.803444 0.007008193444033856 0.0
"Gaia EDR3 5246365537781042432" 0.109595 -0.144778 151.06831860535 -64.89455920599 0.6124 0.0839 -6.832 0.098 3.056 0.091 17.753345 0.003023 1.243402 0.03383467338279188 0.0
"Gaia EDR3 5246365537781043584" 0.115476 -0.145037 151.08218181714 -64.89479326375 0.5749 0.0432 -5.822 0.055 1.935 0.044 16.5564 0.00287 1.131234 0.008316318236461452 0.0
"Gaia EDR3 5246365567827341952" 0.09398 -0.144895 151.03151639926 -64.8947357527 0.8681 0.1843 -11.444 0.23 8.779 0.198 19.074886 0.003632 1.893356 0.051014190131360965 0.0
