EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,probs_final,membs_select
Gaia EDR3 3046146597680929152,0.038929,0.048497,106.70642529374,-11.68483975211,0.1697,0.0233,-0.599,0.027,1.413,0.022,14.267101,0.002793,2.084124,0.005544697091624319,0.9922,1
Gaia EDR3 3046144909750052608,0.012299,0.015068,106.67923371058,-11.71827137081,0.1866,0.0382,-0.573,0.039,1.392,0.038,15.624386,0.002806,1.752979,0.007106795630855105,0.9975,1
Gaia EDR3 3046144914053776384,0.025776,0.011719,106.69299793179,-11.72161945492,0.1893,0.1774,-0.597,0.178,1.388,0.165,18.334187,0.003395,1.297312,0.03642073132407813,0.9968,1
Gaia EDR3 3046144982773257344,0.004553,0.023194,106.67132245708,-11.71014478322,0.1141,0.0939,-0.612,0.099,1.397,0.088,17.164259,0.003044,1.187351,0.019182642901720216,0.9973,1
Gaia EDR3 3046141924756547072,0.020944,0.001243,106.68806327911,-11.73209602184,0.182,0.0347,-0.549,0.033,1.371,0.031,15.326043,0.002799,1.762612,0.005707458764418065,0.997,1
Gaia EDR3 3046141821677348864,0.012509,-0.015574,106.67944954243,-11.74891270199,0.1718,0.052,-0.552,0.053,1.457,0.05,16.38563,0.002854,1.22689,0.0072241105749309125,0.9969,1
Gaia EDR3 3046145047189004160,-0.020571,0.014937,106.64566427755,-11.71840143832,0.0992,0.1098,-0.563,0.111,1.418,0.098,17.618298,0.003096,1.326006,0.020484353629058143,0.9958,1
Gaia EDR3 3046144325638713216,-0.02866,-0.028445,106.63739817943,-11.76178329687,0.1135,0.4752,-0.569,0.368,1.368,0.325,19.328268,0.005447,1.680372,0.09425546036541983,0.99,1
Gaia EDR3 3046144909750037120,0.027589,0.011098,106.69484985684,-11.72224027474,0.1917,0.097,-0.539,0.094,1.387,0.09,17.294727,0.003022,1.207228,0.013551297804318978,0.9964,1
Gaia EDR3 3046144879694047488,0.010578,0.007632,106.67747613665,-11.72570711177,0.2008,0.0425,-0.586,0.041,1.369,0.039,15.715089,0.002815,1.76054,0.007876647966289256,0.9974,1
Gaia EDR3 3046144776614854528,-0.006746,-0.008352,106.65978312215,-11.74169169499,0.1797,0.0696,-0.538,0.068,1.447,0.063,16.84596,0.002891,1.320845,0.012056986749749553,0.9964,1
Gaia EDR3 3046141130183017088,0.014922,-0.048793,106.68191595239,-11.78213239704,0.2126,0.0787,-0.62,0.077,1.399,0.077,17.067553,0.002919,1.712692,0.009394314536636382,0.9939,1
Gaia EDR3 3046141134482869376,0.009778,-0.058722,106.67666176174,-11.79206128989,0.1551,0.0241,-0.647,0.024,1.365,0.024,14.749524,0.002778,1.902926,0.005406236626707055,0.9915,1
Gaia EDR3 3046144944109808128,-0.001906,0.021017,106.66472648665,-11.71232270272,0.1272,0.0755,-0.573,0.08,1.493,0.07,16.893314,0.002916,1.154879,0.012085281960357346,0.9972,1
Gaia EDR3 3046145047188993536,-0.026786,0.012064,106.63931612092,-11.7212735338,0.1278,0.1961,-0.67,0.199,1.394,0.176,18.403467,0.003533,1.454985,0.03194780796411313,0.9949,1
Gaia EDR3 3046141924756549632,0.026018,-0.006258,106.69324707843,-11.73959626298,0.2094,0.0751,-0.613,0.082,1.481,0.076,17.056871,0.003037,1.169886,0.03868533258985822,0.9967,1
Gaia EDR3 3046144810974596992,-0.01518,-0.006583,106.65116874018,-11.739921736,0.1156,0.0417,-0.648,0.039,1.349,0.038,15.741868,0.002799,1.80868,0.007588127479663921,0.996,1
Gaia EDR3 3046145081548716032,-0.044206,0.007364,106.62152504589,-11.72597173671,0.1593,0.0465,-0.497,0.044,1.46,0.041,15.829741,0.002834,1.900481,0.007446469281578556,0.9863,1
Gaia EDR3 3046144944109770752,0.001474,0.010235,106.66817831832,-11.72310443275,0.1089,0.178,-0.513,0.178,1.466,0.165,18.353668,0.003446,1.277483,0.03770913632702997,0.9973,1
Gaia EDR3 3046146769479626880,0.010676,0.059681,106.67757454866,-11.67365822165,0.0901,0.0829,-0.575,0.086,1.487,0.076,16.912273,0.002904,1.492809,0.010846468241140758,0.9953,1
Gaia EDR3 3046146735119898880,-0.005567,0.052461,106.66098813285,-11.68087837642,0.2328,0.0868,-0.55,0.09,1.473,0.079,17.172045,0.002958,1.236095,0.012612074335486187,0.996,1
Gaia EDR3 3046141856037080320,0.026474,-0.015048,106.69371316899,-11.74838593087,0.186,0.0508,-0.68,0.052,1.385,0.049,16.33111,0.002842,1.258462,0.007969721878747366,0.9959,1
Gaia EDR3 3046145154571959168,-0.009657,0.016526,106.65681086458,-11.71681346627,0.1457,0.0836,-0.645,0.085,1.321,0.072,16.946089,0.002943,1.249199,0.012965960231818379,0.9964,1
Gaia EDR3 3046145188931678336,0.005371,0.035448,106.67215816737,-11.69789114184,0.099,0.0682,-0.513,0.066,1.474,0.062,16.707335,0.002912,1.302211,0.01165738121494585,0.997,1
Gaia EDR3 3046144845334326272,-0.018005,0.006424,106.64828410814,-11.72691472678,0.204,0.2055,-0.658,0.209,1.348,0.184,18.617607,0.003831,1.460724,0.07550251888750605,0.9961,1
Gaia EDR3 3046145154571959424,-0.012969,0.01867,106.6534276827,-11.71466891133,0.1578,0.0233,-0.658,0.022,1.495,0.021,14.376995,0.002789,1.948255,0.00525823275038939,0.9962,1
Gaia EDR3 3046146460241993344,0.024919,0.02773,106.69212103264,-11.70560802099,0.2494,0.0669,-0.615,0.07,1.471,0.061,16.73621,0.002889,1.249468,0.010218168242571822,0.9963,1
Gaia EDR3 3046141890396807168,0.038734,-0.009212,106.70623440513,-11.74254837991,0.2408,0.0803,-0.502,0.082,1.401,0.077,17.13289,0.00316,1.283291,0.013029443318618038,0.9939,1
Gaia EDR3 3046141512439721984,0.022047,-0.047057,106.68919422704,-11.78039572827,0.0866,0.0377,-0.511,0.038,1.481,0.035,15.700457,0.002798,1.780961,0.006840337178362777,0.994,1
Gaia EDR3 3046147491034141312,-0.009682,0.060908,106.6567862808,-11.6724308824,0.1596,0.0573,-0.538,0.059,1.525,0.056,16.061474,0.002848,1.851216,0.007924460612289252,0.9947,1
Gaia EDR3 3046141817373513088,0.009506,-0.013634,106.6763826467,-11.74697300696,0.147,0.0697,-0.708,0.071,1.452,0.066,16.903728,0.002878,1.204039,0.016243695109110716,0.9962,1
Gaia EDR3 3046146765176070912,0.006279,0.061949,106.67308446944,-11.67139064167,0.0359,0.341,-0.566,0.282,1.344,0.243,18.982754,0.004246,1.433346,0.07251485085914636,0.9946,1
Gaia EDR3 3046146082285191936,-0.023341,0.060048,106.64283891849,-11.67329078828,0.26,0.0789,-0.494,0.076,1.429,0.074,16.941063,0.003014,1.244017,0.015113616741622026,0.9916,1
