EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,probs_final
Gaia EDR3 5241870317667177088,0.005739,-0.005654,163.57213739238,-61.74565754026,-0.3177,0.2368,-4.388,0.286,1.569,0.243,19.313215,0.004078,1.839811,0.08707699774918569,0.935
Gaia EDR3 5241870352026855040,-0.010407,-0.004561,163.53803150017,-61.74456339892,-0.241,0.3292,-4.193,0.38,1.892,0.321,19.64532,0.00454,1.472633,0.11211585489193576,0.9753
Gaia EDR3 5241870352026855168,-0.010154,-0.007137,163.53856427384,-61.74713929646,0.3659,0.3068,-3.744,0.359,2.11,0.323,19.673054,0.004715,1.801636,0.06507671408546514,0.9203
Gaia EDR3 5241870356327143680,-0.010151,-0.005615,163.53857107707,-61.74561701577,0.3142,0.0425,-5.043,0.049,1.682,0.044,16.011677,0.00282,0.582772,0.006281794061932006,0.9057
Gaia EDR3 5241870386333629568,-0.006359,-0.005118,163.54658107417,-61.74512125239,0.2103,0.144,-5.133,0.168,1.984,0.146,18.512804,0.003529,1.154448,0.04453856535841112,0.9401
Gaia EDR3 5241870386342389504,-0.003456,-0.001448,163.55271559448,-61.74145205905,0.09,0.0495,-4.984,0.058,1.674,0.053,15.955623,0.003273,1.775814,0.018799773894850356,0.9107
Gaia EDR3 5241870386342389632,-0.003017,-0.002382,163.55364294469,-61.74238583523,0.2402,0.1243,-4.772,0.185,1.703,0.199,17.562643,0.004189,nan,nan,0.9372
Gaia EDR3 5241870386342389760,-0.002149,-0.00578,163.55547628257,-61.74578365809,0.15,0.0866,-4.392,0.108,2.061,0.093,17.371292,0.003237,nan,nan,0.9764
Gaia EDR3 5241870386353326336,-0.002093,0.000242,163.55559515345,-61.73976192797,0.166,0.0989,-4.484,0.13,1.854,0.114,17.834883,0.003479,nan,nan,0.9716
Gaia EDR3 5241870386386586880,0.001974,-0.006548,163.56418419612,-61.74655157029,-0.3559,0.2832,-4.762,0.338,1.572,0.276,19.39702,0.004188,1.714068,0.064592610996583,0.9142
Gaia EDR3 5241870386386596480,-0.005794,-0.002527,163.54777688388,-61.74253075979,0.7742,0.445,-3.973,0.534,1.514,0.493,20.046293,0.006316,nan,nan,0.921
Gaia EDR3 5241870386386597888,-0.004333,-0.008646,163.55085982657,-61.74864960229,-0.3719,0.397,-4.794,0.502,1.641,0.384,19.893707,0.005692,1.525354,0.1081782794307368,0.9236
Gaia EDR3 5241870386386598144,-0.003818,-0.007628,163.55194913807,-61.7476318736,-0.7708,0.4319,-4.588,0.547,2.414,0.42,19.826584,0.005561,1.714914,0.08955509017119388,0.9587
Gaia EDR3 5241870386386598400,-0.003666,-0.009188,163.55227010967,-61.74919224118,0.2111,0.4112,-4.06,0.515,2.1,0.456,19.911734,0.005542,1.496504,0.16930646027512544,0.9643
Gaia EDR3 5241870386386598656,-0.00334,-0.008531,163.55295877334,-61.74853486945,0.1685,0.3663,-4.249,0.41,1.977,0.343,19.776243,0.004916,1.410996,0.12827885552072626,0.9761
Gaia EDR3 5241870386386600704,-0.00119,-0.002123,163.55750053494,-61.74212742753,0.273,0.4106,-4.483,0.464,1.854,0.43,20.029137,0.005891,1.387281,0.1836235735126069,0.9715
Gaia EDR3 5241870386386616064,-0.008444,-0.005999,163.54217667758,-61.74600185124,0.4601,0.6364,-4.12,0.805,1.964,0.816,20.41357,0.007604,1.52289,0.16548513891894368,0.9742
Gaia EDR3 5241870386386671872,0.005135,-0.004834,163.57086166292,-61.74483765141,-0.482,0.6946,-4.671,1.168,1.409,0.969,20.364662,0.008272,1.577307,0.1358583482519399,0.8759
Gaia EDR3 5241870386386847488,-0.006311,0.003637,163.54668710855,-61.73636630879,-0.1133,0.14,-4.593,0.461,1.787,0.231,17.895758,0.003727,nan,nan,0.9607
Gaia EDR3 5241870386386848128,-0.003733,-0.00119,163.55213064576,-61.74119374621,0.0843,0.1344,-4.519,0.176,1.806,0.169,17.593,0.003251,nan,nan,0.9672
Gaia EDR3 5241870386386848896,-0.002249,0.002991,163.5552656235,-61.7370128972,-0.1413,0.1209,-4.375,0.141,1.931,0.116,18.274096,0.003162,2.158453,0.04779221499044546,0.9764
Gaia EDR3 5241870386386850560,-0.005936,0.004394,163.5474786582,-61.7356093791,-0.1032,0.2327,-4.184,0.254,1.744,0.22,19.129555,0.004071,nan,nan,0.968
Gaia EDR3 5241870386386850816,-0.005623,0.001479,163.54814034362,-61.73852429485,0.058,0.2883,-4.894,0.294,1.623,0.281,19.255674,0.004963,1.746159,0.09432802101356534,0.9112
Gaia EDR3 5241870386386851072,-0.005046,0.004756,163.54935845051,-61.73524761092,-0.093,0.258,-3.671,0.297,1.969,0.242,19.293741,0.004123,nan,nan,0.9249
Gaia EDR3 5241870386386851200,-0.00481,0.000464,163.54985677684,-61.73953967716,0.1094,0.3123,-4.763,0.399,1.486,0.328,19.011093,0.005323,nan,nan,0.8947
Gaia EDR3 5241870386386852224,-0.003069,0.001701,163.55353330739,-61.73830246697,0.3585,0.2742,-3.905,0.311,2.015,0.268,19.386377,0.004525,1.70668,0.07250266459487652,0.9597
Gaia EDR3 5241870386386852864,-0.001662,0.001946,163.55650431076,-61.73805777334,0.1954,0.2304,-4.519,0.282,2.054,0.228,19.027262,0.003929,nan,nan,0.9755
Gaia EDR3 5241870386386856320,-0.00888,0.002131,163.54126023128,-61.73787197279,0.8803,0.3603,-5.066,0.439,2.066,0.348,19.738049,0.005411,nan,nan,0.9458
Gaia EDR3 5241870386386856704,-0.007409,0.002914,163.54436802174,-61.73708931913,0.4808,0.3589,-4.734,0.405,1.714,0.341,19.752363,0.00475,1.897661,0.20056349932399045,0.9405
Gaia EDR3 5241870386386857728,-0.006064,0.005707,163.54721038269,-61.7342966019,0.503,0.4501,-4.117,0.58,2.001,0.526,20.073545,0.006259,1.7714,0.17205315521288594,0.9719
Gaia EDR3 5241870386386860416,-0.003033,0.003023,163.5536107021,-61.73698122836,-0.4228,0.2938,-4.862,0.339,2.059,0.285,19.554377,0.005339,1.71048,0.0964668458077314,0.9601
Gaia EDR3 5241870386386860800,-0.002653,4.8e-05,163.55441240216,-61.73995546588,-0.0389,0.2914,-4.224,0.346,1.988,0.303,19.448133,0.005261,1.791218,0.056503000838410845,0.9766
Gaia EDR3 5241870386386861056,-0.002085,-0.001713,163.55561173322,-61.74171718685,0.4892,0.4273,-4.194,0.521,2.27,0.446,19.911005,0.005877,2.275734,0.23926058136317319,0.9573
Gaia EDR3 5241870386386869120,-0.007164,0.003764,163.54488508818,-61.73623904884,0.1831,0.769,-3.768,1.056,2.231,0.824,20.546803,0.009386,nan,nan,0.9061
Gaia EDR3 5241870390663278720,-0.008149,-0.00028,163.54280355143,-61.74028319849,-0.0455,0.1332,-3.887,0.156,2.35,0.133,18.215033,0.003833,1.988409,0.054631198952429634,0.9211
Gaia EDR3 5241870390663279104,-0.008402,0.000588,163.54227030109,-61.73941438284,0.0965,0.1028,-4.352,0.117,2.104,0.104,18.08193,0.003376,2.091492,0.03567524751404042,0.9748
Gaia EDR3 5241870390663285888,-0.002584,-0.002746,163.55455684254,-61.74275018923,0.127,0.4438,-3.722,0.579,1.999,0.913,19.30729,0.006031,nan,nan,0.936
Gaia EDR3 5241870390663295360,-0.001671,-4.9e-05,163.55648594497,-61.74005339424,0.1641,0.0779,-4.425,0.088,1.853,0.08,17.611378,0.0031,2.102076,0.048559876577763464,0.9732
Gaia EDR3 5241870390663301248,-0.002231,0.002281,163.55530346709,-61.73772327867,-0.0957,0.4236,-4.124,0.517,1.58,0.376,19.810863,0.005765,nan,nan,0.9453
Gaia EDR3 5241870390686887040,-0.005257,-0.004037,163.5489102414,-61.74404051039,0.1004,0.0918,-4.431,0.107,1.943,0.093,17.914942,0.003032,2.169222,0.01930565710102271,0.9761
Gaia EDR3 5241870390686887296,-0.006339,-0.002569,163.54662580561,-61.74257248379,-0.221,0.1731,-4.823,0.206,2.326,0.178,18.87024,0.003919,1.321865,0.04202046112905523,0.9625
Gaia EDR3 5241870390686888960,-0.006446,-0.001304,163.54639915008,-61.7413068635,0.1724,0.0948,-4.589,0.109,2.109,0.096,17.901825,0.003195,2.024059,0.0362330206106462,0.9739
Gaia EDR3 5241870390686892160,-0.007011,0.001416,163.54520784024,-61.73858759198,0.1836,0.0767,-4.538,0.085,1.941,0.075,17.554451,0.002977,2.258869,0.017167505453679014,0.9732
Gaia EDR3 5241870390686893568,-0.003296,-0.000506,163.55305299071,-61.7405093984,0.3994,0.1275,-4.19,0.143,2.068,0.127,17.844328,0.003328,2.069557,0.03209240269407016,0.9735
Gaia EDR3 5241870390686893824,0.00087,-0.003394,163.56185259625,-61.74339809919,0.0911,0.0848,-4.711,0.101,2.043,0.085,17.709368,0.002931,2.093952,0.021706099064086437,0.969
Gaia EDR3 5241870390686894592,-0.001632,-0.001004,163.55656736553,-61.7410080095,-0.9561,0.4482,-4.578,0.72,1.631,0.726,19.527754,0.006169,nan,nan,0.9425
Gaia EDR3 5241870390686895232,-0.002243,-8.8e-05,163.5552767302,-61.74009173658,0.0486,1.1059,-4.235,1.427,1.59,1.006,20.368406,0.011373,nan,nan,0.9478
Gaia EDR3 5241870390686896896,-0.000112,-0.000912,163.5597786013,-61.74091552316,0.0912,0.0824,-4.009,0.092,1.949,0.08,16.618864,0.003062,2.255544,0.008590574751921105,0.9708
Gaia EDR3 5241870390686897024,-0.005099,0.002724,163.54924704184,-61.7372793865,0.2907,0.0933,-4.448,0.105,1.957,0.093,17.907045,0.003035,2.34449,0.025822135336254104,0.9758
Gaia EDR3 5241870390694037760,-0.003842,0.002827,163.55190133067,-61.73717704616,1.2815,0.5294,-4.513,0.503,1.597,0.63,19.579763,0.008289,1.697281,0.10631939374391013,0.9394
Gaia EDR3 5241870390694038016,-0.00483,0.001555,163.5498140121,-61.73844837323,0.2381,0.7055,-4.018,0.635,1.848,0.585,19.787823,0.006845,nan,nan,0.9712
Gaia EDR3 5241870420713089408,0.007324,0.000338,163.57548385626,-61.73966544938,1.0272,0.6434,-4.09,0.9,2.085,0.696,20.242172,0.007277,0.708633,0.16226703403651063,0.9667
Gaia EDR3 5241870420746445824,0.006876,-0.002696,163.57453877388,-61.74269937666,-0.1651,0.9731,-4.008,1.429,1.578,1.351,20.650341,0.010666,1.13599,0.24133893894453062,0.939
