EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,probs_final,membs_select
Gaia EDR3 2033896262839818112,0.012644,-0.004399,297.77495429518,32.23560658436,0.0353,0.0832,-2.618,0.078,-4.106,0.093,17.74609,0.002943,2.195333,0.01265543603408707,0.9863,1
Gaia EDR3 2033896232818461696,-0.000213,-0.004413,297.75975490412,32.2355934411,0.1157,0.0502,-2.623,0.045,-4.129,0.054,16.831915,0.002829,2.19317,0.009258142439414368,0.9876,1
Gaia EDR3 2033899149057823616,-0.023493,-0.009634,297.73223405965,32.23036875637,0.112,0.1259,-2.576,0.115,-4.091,0.139,18.4977,0.00309,1.620491,0.02471579901448198,0.9801,1
Gaia EDR3 2033899286505766272,-0.007228,0.014622,297.75145925932,32.25462767398,0.1274,0.0886,-2.58,0.079,-4.107,0.1,17.920452,0.002965,2.103331,0.015449744765950704,0.9848,1
Gaia EDR3 2033899183418849792,-0.007641,0.00402,297.75097263735,32.24402592466,0.1089,0.1604,-2.548,0.145,-4.125,0.178,18.859858,0.003339,1.583605,0.03701206034067618,0.9872,1
Gaia EDR3 2033899187755984128,-0.013043,0.000999,297.74458596665,32.24100385245,0.0321,0.0635,-2.539,0.057,-4.084,0.072,17.339937,0.002874,2.171493,0.01171791101467048,0.9866,1
Gaia EDR3 2033899290810193152,-0.00029,0.016928,297.75966379793,32.25693400809,0.0183,0.1048,-2.607,0.093,-4.189,0.117,18.146055,0.003016,2.281265,0.022561720455446542,0.9841,1
Gaia EDR3 2033896335897672960,0.006918,0.005352,297.76818578494,32.24535790946,0.0796,0.0862,-2.539,0.077,-4.062,0.092,17.818687,0.002954,2.187057,0.01638172118559279,0.9872,1
Gaia EDR3 2033899187731077120,-0.014921,0.006901,297.7423642179,32.24690617488,-0.0555,0.1258,-2.596,0.113,-4.133,0.139,18.43254,0.003149,1.519396,0.04172226271415314,0.9856,1
Gaia EDR3 2033896232818476160,-0.009472,-0.00287,297.7488081543,32.23713520106,0.1238,0.0739,-2.516,0.066,-4.055,0.087,17.561802,0.002894,2.065899,0.012532812422270462,0.987,1
