EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,probs_final,membs_select
Gaia EDR3 3035355578248273536,-0.013517,0.041786,112.8162842737,-9.92821955481,0.1416,0.0185,-0.606,0.017,-0.061,0.015,14.318185,0.002765,1.631495,0.004849434772837892,0.9979,1
Gaia EDR3 3035355165930825984,-0.028908,0.014901,112.80065674116,-9.95510410809,0.1442,0.061,-0.602,0.055,-0.069,0.051,16.917505,0.002817,1.03429,0.00756795186856148,0.9991,1
Gaia EDR3 3035402376213058048,-0.056275,0.044556,112.77287605651,-9.92544478136,0.1578,0.0872,-0.61,0.079,-0.088,0.066,17.49004,0.002882,0.920038,0.010448135250394156,0.9982,1
Gaia EDR3 3035402097039282944,-0.038063,0.024369,112.79136305996,-9.94563496701,0.1645,0.095,-0.586,0.082,-0.071,0.075,17.732534,0.002899,0.920637,0.010811054010218219,0.9992,1
Gaia EDR3 3035402101335162496,-0.049452,0.024927,112.77979943095,-9.94507494257,0.1392,0.05,-0.578,0.045,-0.042,0.04,16.54336,0.002805,0.698925,0.008032550650635307,0.9989,1
Gaia EDR3 3035402101326269312,-0.038983,0.021165,112.79042826788,-9.94883902031,0.1411,0.0826,-0.596,0.074,-0.1,0.067,17.51104,0.002865,0.963764,0.010030378924702198,0.9992,1
Gaia EDR3 3035354925412637952,-0.000562,0.013704,112.82943611972,-9.95630246404,0.1712,0.0847,-0.584,0.072,-0.078,0.068,17.492859,0.002872,0.883516,0.016525602746561667,0.9977,1
Gaia EDR3 3035402101335155840,-0.042751,0.030113,112.78660348729,-9.93989006853,0.1584,0.0494,-0.641,0.043,-0.078,0.039,16.49028,0.003631,0.68269,0.011488821362398106,0.9991,1
Gaia EDR3 3035402509349968000,-0.01959,0.047844,112.81011933998,-9.92216187355,0.0987,0.0819,-0.586,0.076,-0.072,0.066,17.499165,0.002868,0.90509,0.011269622623964054,0.9977,1
Gaia EDR3 3035355165930819584,-0.033787,0.023185,112.7957039545,-9.9468192909,0.1315,0.0257,-0.65,0.023,-0.064,0.021,15.16254,0.002766,1.474182,0.00513528295114992,0.9992,1
Gaia EDR3 3035355578244011776,-0.012505,0.030284,112.81731030395,-9.93972188925,0.0937,0.2146,-0.618,0.176,-0.062,0.181,18.854195,0.003469,1.039831,0.04038491062008642,0.9985,1
Gaia EDR3 3035402101335158784,-0.04472,0.026667,112.78460483657,-9.94333566848,0.114,0.0166,-0.644,0.015,-0.052,0.013,13.866765,0.002763,1.722419,0.0048370918611074535,0.9991,1
Gaia EDR3 3035355161630433792,-0.035352,0.019206,112.79411435896,-9.95079856197,0.141,0.2606,-0.608,0.23,-0.01,0.209,19.380684,0.003583,1.179182,0.03197922129300577,0.9991,1
Gaia EDR3 3035402170054632320,-0.051995,0.036604,112.77721967344,-9.93339828632,0.0902,0.0225,-0.641,0.02,-0.065,0.018,14.703423,0.002764,1.505848,0.004960625360962686,0.9987,1
Gaia EDR3 3035355608307076096,-0.000655,0.03941,112.82934177254,-9.93059649235,0.1476,0.0846,-0.635,0.073,-0.118,0.065,17.40107,0.002856,0.951067,0.011068768812237832,0.997,1
Gaia EDR3 3035402410572788480,-0.048975,0.052386,112.78028840684,-9.91761630526,0.1286,0.0266,-0.65,0.023,-0.021,0.02,15.09949,0.002768,1.444344,0.00517286990811715,0.9978,1
Gaia EDR3 3035355200290551296,-0.021578,0.021662,112.80809868566,-9.94834381405,0.1039,0.0495,-0.661,0.043,-0.064,0.039,16.491823,0.002791,1.419918,0.007815380246036497,0.999,1
Gaia EDR3 3035402204414364160,-0.049991,0.042516,112.77925558198,-9.92748664738,0.1579,0.0433,-0.569,0.038,-0.12,0.035,16.240082,0.002786,1.383516,0.0074147398482392836,0.9986,1
Gaia EDR3 3035402170054627584,-0.048183,0.039111,112.78109035795,-9.930891232,0.0807,0.0264,-0.639,0.023,-0.089,0.021,15.093646,0.002767,1.458938,0.005085218612386068,0.9988,1
Gaia EDR3 3035402509349948288,-0.025005,0.039236,112.80462066539,-9.93076918815,0.2031,0.2212,-0.601,0.188,-0.11,0.18,18.947332,0.003429,1.164621,0.034529690345859655,0.9987,1
Gaia EDR3 3035402101326262400,-0.045431,0.025814,112.78388234295,-9.94418905712,0.1738,0.1654,-0.538,0.138,-0.039,0.136,18.462488,0.003264,1.086695,0.03159741587921888,0.9989,1
Gaia EDR3 3035402066966550400,-0.0625,0.030091,112.76655374371,-9.93990940871,0.1354,0.5975,-0.548,0.49,-0.122,0.449,20.246227,0.005504,1.201174,0.08454702754132995,0.9979,1
Gaia EDR3 3035355200286890880,-0.023557,0.031757,112.80609093986,-9.93824858274,0.1298,0.3204,-0.573,0.286,-0.139,0.282,19.627975,0.004005,1.068216,0.07222122216989224,0.9989,1
Gaia EDR3 3035355165930819456,-0.025073,0.017454,112.80455040175,-9.95255094073,0.1559,0.068,-0.667,0.062,-0.119,0.056,17.204514,0.002832,0.961361,0.009242837579091797,0.999,1
Gaia EDR3 3035402165752567424,-0.054838,0.0407,112.7743345645,-9.92930109563,0.103,0.099,-0.611,0.088,0.015,0.078,17.719736,0.002926,0.929029,0.013411819757796472,0.9982,1
Gaia EDR3 3035355058551185408,-0.036466,0.004449,112.79298133813,-9.96555479573,0.1594,0.0815,-0.685,0.073,-0.093,0.065,17.48768,0.002871,0.770271,0.013436632097658559,0.9985,1
Gaia EDR3 3035355165930833280,-0.03938,0.014904,112.79002398939,-9.95509963202,0.1678,0.0269,-0.558,0.025,-0.13,0.022,15.183402,0.00277,1.54067,0.00517262953041594,0.999,1
Gaia EDR3 3035402097039243520,-0.048762,0.026424,112.78050046877,-9.94357811288,0.1547,0.0736,-0.539,0.064,-0.118,0.058,17.203695,0.002841,0.984911,0.009932276019812706,0.9989,1
Gaia EDR3 3035401963896225280,-0.063189,0.009661,112.76584995944,-9.96033898442,0.0485,0.0852,-0.591,0.075,-0.072,0.069,17.49642,0.002881,0.610832,0.014615073754582082,0.9972,1
Gaia EDR3 3035355165923631488,-0.033268,0.024675,112.79623102691,-9.94532892062,0.1701,0.0765,-0.536,0.069,-0.115,0.065,17.422508,0.002853,0.940823,0.009251627286618505,0.9992,1
Gaia EDR3 3035402066975428608,-0.058378,0.024978,112.77073738521,-9.94502284372,0.078,0.0784,-0.569,0.068,-0.002,0.062,17.371788,0.002861,1.006929,0.010015845877376313,0.9981,1
Gaia EDR3 3035355195996457856,-0.025836,0.020327,112.80377585331,-9.94967762804,0.2115,0.0595,-0.591,0.054,-0.127,0.049,16.881456,0.002826,1.103308,0.0082492501995648,0.9991,1
Gaia EDR3 3035355131571065344,-0.010434,0.023866,112.81941300154,-9.94613979131,0.1205,0.0748,-0.692,0.065,-0.016,0.06,17.256502,0.002844,0.956272,0.01259703278353574,0.9984,1
Gaia EDR3 3035355161630436608,-0.031832,0.017287,112.79768778709,-9.95271766657,0.1142,0.1242,-0.623,0.106,-0.16,0.102,18.153137,0.003005,1.047421,0.01598419961301311,0.9991,1
Gaia EDR3 3035355161630436352,-0.030882,0.018489,112.79865275608,-9.95151563082,0.2142,0.1007,-0.541,0.087,-0.048,0.083,17.75594,0.003117,0.993347,0.03929499059380691,0.999,1
Gaia EDR3 3035355062851632896,-0.044804,0.004438,112.78451561672,-9.96556459478,0.0627,0.1622,-0.551,0.137,-0.018,0.132,18.602982,0.003131,1.04808,0.028529701023917577,0.998,1
Gaia EDR3 3035402135694883200,-0.034449,0.039726,112.79503315994,-9.93027847702,0.174,0.0359,-0.511,0.032,-0.088,0.029,15.826132,0.002779,1.476005,0.005392834882384311,0.9987,1
Gaia EDR3 3035402131393513984,-0.028147,0.03257,112.80143084591,-9.93743518192,0.1592,0.0844,-0.598,0.074,-0.166,0.068,17.551317,0.002889,0.960489,0.011572361422942498,0.999,1
Gaia EDR3 3035355058551204864,-0.042782,0.013075,112.78657027289,-9.95692800682,0.1693,0.2046,-0.658,0.184,-0.15,0.162,19.04973,0.003357,1.124859,0.032856587342068234,0.9987,1
Gaia EDR3 3035402097039275520,-0.039805,0.028172,112.78959430372,-9.94183185031,0.1593,0.1332,-0.675,0.112,-0.141,0.108,18.127949,0.002993,0.934984,0.02062976002967509,0.999,1
Gaia EDR3 3035355028491903872,-0.049067,0.000278,112.78018726653,-9.96972461979,0.1253,0.1516,-0.537,0.137,-0.146,0.138,18.46961,0.003109,1.018211,0.033430255478038885,0.9975,1
Gaia EDR3 3035355062852199296,-0.038522,0.007439,112.79089483767,-9.96256519645,0.0673,0.105,-0.672,0.092,-0.115,0.083,17.915485,0.00293,1.005827,0.01849070432977586,0.9987,1
Gaia EDR3 3035355161630428672,-0.027681,0.017393,112.80190236253,-9.95261238878,0.1007,0.2015,-0.507,0.171,-0.095,0.164,18.94171,0.003699,1.146257,0.03836111712902306,0.999,1
Gaia EDR3 3035355024197640192,-0.057818,0.002669,112.77130198345,-9.96733211611,0.0558,0.0936,-0.561,0.083,-0.124,0.075,17.636265,0.002908,0.962305,0.01881090715347357,0.9972,1
Gaia EDR3 3035355200290543104,-0.017604,0.027484,112.812133766,-9.94252123747,0.0258,0.0882,-0.604,0.082,-0.061,0.07,17.427624,0.002889,0.944813,0.027278037809634455,0.9988,1
Gaia EDR3 3035355509528184960,-0.000197,0.018274,112.82980581625,-9.95173197603,0.124,0.0661,-0.569,0.059,-0.17,0.053,17.067553,0.002822,0.924805,0.009182292811704337,0.9977,1
Gaia EDR3 3035355131571075328,-0.01252,0.014758,112.81729506699,-9.95524761693,0.2085,0.1106,-0.626,0.099,-0.153,0.092,18.046898,0.002939,0.964069,0.01816064948664951,0.9986,1
Gaia EDR3 3035402131392825600,-0.038449,0.038655,112.79097266937,-9.93134894689,0.2417,0.0935,-0.583,0.081,-0.019,0.076,17.662167,0.002892,0.916878,0.012720244919971568,0.9988,1
Gaia EDR3 3035355200291151744,-0.022077,0.034868,112.8075929192,-9.93513779041,0.0624,0.0677,-0.697,0.059,-0.068,0.054,17.148167,0.002833,1.230637,0.009751391942607173,0.9986,1
Gaia EDR3 3035355200291152128,-0.027781,0.021726,112.80180078491,-9.94827841093,0.111,0.0571,-0.715,0.05,-0.023,0.046,16.821667,0.002813,0.988512,0.006906319939374199,0.9991,1
Gaia EDR3 3035355131571067392,-0.003905,0.016954,112.8260415751,-9.95305239135,0.1748,0.0885,-0.598,0.079,-0.179,0.071,17.502586,0.002895,0.972897,0.016233654703685162,0.998,1
Gaia EDR3 3035354886752482176,-0.011725,-0.00083,112.81810197895,-9.97083634173,0.1958,0.1322,-0.531,0.115,-0.14,0.11,18.289341,0.00301,0.936424,0.017948344945400607,0.9977,1
Gaia EDR3 3035402101335153536,-0.034798,0.027359,112.79467808905,-9.94264523208,0.1778,0.0218,-0.702,0.019,0.004,0.018,14.693602,0.002763,1.43578,0.0050120785990734615,0.999,1
Gaia EDR3 3035402582371470208,-0.029099,0.051065,112.80046603985,-9.91893935819,0.1411,0.1031,-0.651,0.089,-0.182,0.089,17.782997,0.002926,0.998041,0.012981306619521108,0.9973,1
Gaia EDR3 3035355097211346816,-0.01547,0.00818,112.81429925758,-9.96182607486,0.1597,0.1815,-0.633,0.156,0.059,0.144,18.759007,0.003125,1.084316,0.025973768685827504,0.998,1
Gaia EDR3 3035355578247653760,-0.009196,0.032407,112.82067026682,-9.93759883439,0.1107,0.0498,-0.73,0.045,-0.083,0.04,16.545216,0.0028,1.041686,0.006510749401724617,0.9979,1
Gaia EDR3 3035355092910933888,-0.023339,0.007655,112.80631026707,-9.96234978612,0.1668,0.0973,-0.702,0.089,0.019,0.08,17.759817,0.002889,0.952593,0.012253955320751556,0.9987,1
Gaia EDR3 3035355200290554624,-0.023021,0.019878,112.80663427773,-9.95012734675,0.0473,0.0796,-0.689,0.068,-0.014,0.063,17.347933,0.00285,0.987848,0.00967909050759173,0.999,1
Gaia EDR3 3035355161636700032,-0.030627,0.016716,112.79891127287,-9.95328852044,0.0408,0.0647,-0.697,0.056,-0.017,0.053,16.983156,0.002827,1.147291,0.007717322065409876,0.9991,1
Gaia EDR3 3035402101335158016,-0.046846,0.029737,112.78244609351,-9.94026564979,0.0683,0.0551,-0.702,0.049,0.016,0.044,16.688242,0.002803,1.010559,0.007416161404592987,0.9988,1
Gaia EDR3 3035402135694889088,-0.037685,0.031174,112.79174690625,-9.93882949664,0.2213,0.0802,-0.726,0.071,-0.071,0.064,17.342081,0.002877,1.354841,0.012008559039904687,0.9989,1
Gaia EDR3 3035355161630877824,-0.026951,0.019496,112.80264350139,-9.9505088471,0.2825,0.1588,-0.561,0.138,-0.115,0.131,18.571432,0.003124,0.970638,0.024923258468267186,0.9991,1
Gaia EDR3 3035402200112329984,-0.039856,0.050014,112.78954541952,-9.91998957539,-0.0144,0.1828,-0.59,0.157,-0.005,0.144,18.648972,0.003226,0.963322,0.02901268560284822,0.998,1
Gaia EDR3 3035402101335160960,-0.040889,0.02095,112.78849287193,-9.94905331219,0.053,0.0756,-0.555,0.068,-0.195,0.062,17.368355,0.002843,0.975708,0.009018536347947482,0.999,1
