EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,probs_final,membs_select
Gaia EDR3 5588001697638841600,-0.004434,-0.006058,114.4275203959,-36.07306415644,0.0596,0.1145,-0.863,0.118,2.162,0.122,18.28545,0.003088,0.822704,0.018286045449275284,0.9995,1
Gaia EDR3 5588001667581966592,0.001614,-0.009387,114.43500345616,-36.07639276726,0.0491,0.033,-0.83,0.033,2.161,0.035,16.073488,0.002794,0.664563,0.006020361036277486,0.9995,1
Gaia EDR3 5588001731998590208,0.003515,-0.003743,114.43735541671,-36.07074855235,0.0484,0.0751,-0.863,0.077,2.168,0.08,17.680655,0.002948,0.685432,0.01643965154486574,0.9997,1
Gaia EDR3 5588004686936170112,-0.003819,0.018983,114.42828334562,-36.04802249752,0.1343,0.0878,-0.79,0.088,2.112,0.091,17.968962,0.003011,0.783419,0.013655303803108556,0.9995,1
Gaia EDR3 5588004686936156672,-0.010579,0.016207,114.41992118462,-36.05079861624,0.1647,0.1861,-0.872,0.184,2.137,0.203,19.075327,0.003566,1.002827,0.03258311117269472,0.9994,1
Gaia EDR3 5588003209467411456,0.010908,0.017192,114.44649788323,-36.04981340097,0.0903,0.09,-0.91,0.089,2.166,0.096,17.967302,0.002984,0.704603,0.012001532883351667,0.9996,1
Gaia EDR3 5588003209467412736,0.004122,0.015707,114.43810504731,-36.05129940541,0.1481,0.0978,-0.843,0.096,2.08,0.105,18.087444,0.003002,0.765789,0.014144140390770218,0.9997,1
Gaia EDR3 5588001731998621824,0.000451,0.006303,114.43356455196,-36.06070340539,0.0386,0.0414,-0.862,0.042,2.196,0.045,16.592297,0.002803,0.715939,0.00684927114668099,0.9998,1
Gaia EDR3 5588003145050698240,0.021834,0.005228,114.46001632935,-36.06177538045,0.0891,0.0503,-0.89,0.05,2.215,0.052,16.943962,0.002831,0.602192,0.008181995865404865,0.9994,1
Gaia EDR3 5588006168707686400,-0.006768,0.026935,114.42463640796,-36.04007095706,0.0911,0.0559,-0.894,0.057,2.056,0.061,16.881159,0.002865,0.607723,0.014969078554356162,0.9985,1
Gaia EDR3 5588001736303995520,-0.005148,0.002031,114.42663826608,-36.06497535609,0.07,0.055,-0.747,0.054,2.136,0.058,17.071453,0.002935,0.597462,0.01013669426341689,0.9997,1
Gaia EDR3 5588003213770182528,0.006239,0.015492,114.44072372666,-36.05151380368,0.0208,0.0673,-0.883,0.068,2.056,0.072,17.523434,0.002885,0.643734,0.010224622164521718,0.9996,1
Gaia EDR3 5588001736301438464,-0.001369,0.009793,114.43131316134,-36.05721353254,0.1009,0.0546,-0.721,0.058,2.139,0.058,16.972725,0.002849,0.647161,0.00765323122706864,0.9998,1
Gaia EDR3 5588001736301571328,0.007147,0.001665,114.44184777989,-36.06534047179,0.1535,0.0757,-0.74,0.08,2.186,0.08,17.565681,0.002925,0.697163,0.01182443683090133,0.9998,1
Gaia EDR3 5588004691238940800,-0.006049,0.009551,114.42552404086,-36.05745493513,0.0876,0.0971,-0.725,0.096,2.204,0.095,18.018042,0.003003,0.791271,0.03273340621588226,0.9997,1
Gaia EDR3 5588001736301438848,-0.000666,0.006657,114.43218227321,-36.06034896721,0.0139,0.1611,-0.88,0.163,2.037,0.171,18.854622,0.00328,1.028471,0.02936603383266514,0.9998,1
Gaia EDR3 5588004652576348928,-0.020241,-0.002584,114.40796546684,-36.06958734561,0.0083,0.1207,-0.943,0.119,2.172,0.136,18.541544,0.003189,1.069988,0.02176284728680632,0.9993,1
Gaia EDR3 5588003213770185088,0.006435,0.007928,114.44096585729,-36.05907746957,0.0995,0.0275,-0.701,0.028,2.109,0.029,15.781446,0.002783,0.655451,0.0057510979228789,0.9998,1
Gaia EDR3 5588003243827144960,0.01772,0.015757,114.45492382164,-36.05124672504,0.0019,0.1226,-0.9,0.118,2.232,0.127,18.314104,0.003118,0.953537,0.022493791753555845,0.9995,1
Gaia EDR3 5588001736297825408,0.001101,0.004747,114.43436822721,-36.06225883839,0.1153,0.1075,-0.9,0.109,1.999,0.114,18.29171,0.003069,0.913916,0.026579669914271336,0.9997,1
Gaia EDR3 5588001736301437184,0.003591,0.003458,114.43744886135,-36.06354805558,0.2123,0.0472,-0.778,0.05,2.062,0.05,16.719257,0.002834,0.645555,0.016736955869245892,0.9998,1
Gaia EDR3 5588004652576335488,-0.019859,-0.006042,114.40843610808,-36.07304553381,0.1188,0.1052,-0.706,0.105,2.217,0.117,18.322296,0.003054,0.758829,0.016639452474673723,0.999,1
Gaia EDR3 5588001736298464384,0.00419,0.001596,114.43818993225,-36.06541011492,0.134,0.1256,-0.806,0.131,1.984,0.13,18.423134,0.003149,0.808205,0.022221948856618837,0.9997,1
Gaia EDR3 5588001736297822976,-9.8e-05,0.009117,114.43288530325,-36.05788879192,0.2108,0.0913,-0.726,0.096,2.187,0.095,17.984167,0.002993,0.699511,0.011859255413482163,0.9998,1
Gaia EDR3 5588003140747908352,0.017407,0.009707,114.45453872938,-36.05729700259,0.1111,0.1124,-0.849,0.113,1.967,0.117,18.350039,0.003081,0.747696,0.02076166639611749,0.9994,1
Gaia EDR3 5588003145047080064,0.011394,-0.000346,114.4471026136,-36.06735114314,0.1771,0.1484,-0.969,0.153,2.049,0.15,18.713518,0.003302,1.148089,0.028114155018698538,0.9995,1
Gaia EDR3 5588001736297815680,0.004715,0.005014,114.4388394831,-36.06199173072,0.1257,0.2124,-0.994,0.217,2.058,0.231,19.28645,0.003773,0.995348,0.03852597935977873,0.9997,1
Gaia EDR3 5588001663279092992,0.004174,-0.007754,114.43817116511,-36.07475990591,0.2071,0.0979,-0.768,0.096,2.259,0.102,18.168568,0.003019,0.747055,0.02082162587568902,0.9995,1
Gaia EDR3 5588004652576357760,-0.013108,-3.7e-05,114.41678960943,-36.06704168587,-0.0337,0.1872,-0.73,0.178,2.081,0.196,19.066484,0.003517,1.080364,0.036297545860948875,0.9994,1
Gaia EDR3 5588004553797599488,-0.026498,-0.006992,114.40022246332,-36.07399328655,0.2225,1.4472,-0.941,1.198,2.232,1.408,20.79502,0.011177,0.947908,0.25573471323200575,0.9991,1
Gaia EDR3 5588001736301437568,0.003474,0.002195,114.43730410746,-36.06481089986,0.0991,0.0774,-0.669,0.081,2.055,0.081,17.728947,0.002906,0.729012,0.011482641684220873,0.9997,1
Gaia EDR3 5588003213770321024,0.0097,0.0024,114.44500628943,-36.06460568071,-0.0546,0.1137,-0.755,0.119,2.221,0.114,18.268265,0.003059,0.711247,0.016119146153520277,0.9997,1
Gaia EDR3 5588004721295866112,-0.023097,0.007966,114.40443505235,-36.0590364439,0.0329,0.1668,-0.961,0.164,1.991,0.174,18.93329,0.003388,1.19492,0.031311717791521046,0.998,1
Gaia EDR3 5588001663279075328,0.012115,-0.01356,114.44799682483,-36.08056548187,0.1329,0.0838,-0.652,0.082,2.213,0.096,17.883564,0.002953,0.654638,0.014179644734399983,0.9979,1
Gaia EDR3 5588002934589396096,0.024607,-0.012111,114.46345328724,-36.07911330296,0.2279,0.1716,-0.896,0.17,2.297,0.179,18.954964,0.003411,1.093363,0.028610655357712643,0.9608,1
Gaia EDR3 5588004652576354432,-0.016635,-0.001474,114.41242638104,-36.06847799114,0.2315,0.1126,-0.975,0.11,2.238,0.124,18.398762,0.003125,0.775045,0.01734664974188329,0.9993,1
Gaia EDR3 5588001736297827200,0.000582,0.003869,114.43372640883,-36.06313678167,-0.0653,0.2468,-0.952,0.236,2.044,0.266,19.47419,0.004209,,,0.9997,1
Gaia EDR3 5588003213770182400,0.010229,0.007874,114.44565945647,-36.05913119989,0.2331,0.068,-0.684,0.07,2.21,0.07,17.482777,0.002905,0.679361,0.00880714324932429,0.9997,1
