#
# [ASteCA v0.4.2-dev]
#
# Created:  [2021-07-25 21:19:18]
# Modified: [2021-07-26 04:01:15]
#
# NAME: Cluster's name.
# c_x: Cluster's x center coordinate.
# c_y: Cluster's y center coordinate.
# r_cl: Cluster's radius.
# r_c: Core radius (3-P King profile).
# r_t: Tidal radius (3-P King profile).
#
# CI: 'Contamination index' is a  measure of the contamination of field
#      stars in the cluster region. The closer to 1, the more contaminated 
#      the cluster region is.
# n_memb_k: Approximate number of cluster's members obtained integrating the
#           fitted King profile (if it converged).
# n_memb: Approximate number of cluster's members assuming a uniform
#         background.
# a_f: Fraction of cluster's area that is present in frame.
#
# Parameters values are in the sense: mean, MAP/ML, median, mode.
# Parameters uncertainties are 16th, 84th percentiles, and STDDEV.
# z: Metallicity value.
# a: log(age).
# E: extinction E(B-V).
# d: Distance modulus.
# M: Total initial mass.
# b: Binary fraction.
# Nt: Number of samples used to estimate the parameters values.
#
NAME                                  c_x        c_y       r_cl        r_c       rc16       rc84        r_t       rt16       rt84      CI   n_memb_k     n_memb     a_f     z_mean      z_MAP   z_median     z_mode     z_16th     z_84th      z_std  z_R^2     a_mean      a_MAP   a_median     a_mode     a_16th     a_84th      a_std  a_R^2     E_mean      E_MAP   E_median     E_mode     E_16th     E_84th      E_std  E_R^2     d_mean      d_MAP   d_median     d_mode     d_16th     d_84th      d_std  d_R^2     M_mean      M_MAP   M_median     M_mode     M_16th     M_84th      M_std  M_R^2     b_mean      b_MAP   b_median     b_mode     b_16th     b_84th      b_std  b_R^2         Nt
06/eso09308                     -0.000132   0.001790   0.026494        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.60  -0.274952  -0.141484   -0.32281  -0.480371   -0.52318  0.0190059   0.240508   0.91    9.83948    9.48717    9.90949    9.99796    9.54052    10.0452   0.215518   0.88   0.661369   0.674688   0.669058   0.684617    0.59519   0.721613  0.0652869   0.98    15.6025    15.9775    15.6106    15.6007     15.379    15.8512   0.272782   0.74    39433.6    20513.3    33818.4    23230.0    14223.5    68814.8    24882.8   0.94   0.625092   0.599249    0.67753   0.805706   0.321119   0.892333   0.259275   0.94   3.10E+00
06/kronberger31                 -0.002245   0.007536   0.037914        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.77  -0.237709   0.124976  -0.369782  -0.427208  -0.492101    0.12825   0.262964   0.85    8.99531    9.00066    9.00113    9.02092     8.9161    9.06384  0.0718844   0.97    1.29769    1.19461    1.31865     1.3334    1.22038    1.35404  0.0643309   0.95    14.4501    14.4839    14.3951    14.3141    14.2311      14.74   0.228557   0.95     8950.7     8452.0    8334.29    7460.91    5662.91    12419.0    3478.94   0.96   0.785628   0.724784   0.804728   0.826025    0.64938   0.928155   0.140666   0.95   3.10E+00
06/saurer3                       0.001116   0.021426   0.033192        nan        nan        nan        nan        nan        nan    0.82        nan        nan    0.93 -0.0563926  0.0519373   0.015358  0.0819237  -0.342344   0.191703   0.237725   0.93    9.74261    9.89358    9.81475    9.86306    9.50938    9.90577   0.181496   0.93   0.707572   0.640657   0.705853   0.678324   0.637386   0.776688  0.0699057   0.99    14.0204    13.8492    13.9353    13.8481    13.7735    14.3048   0.291855   0.95    14573.8    17308.4    13835.0    12744.9    8295.09    20478.4    6413.68   0.97   0.811884   0.898675   0.856693   0.911051   0.666498   0.957663    0.16713   0.86   3.10E+00
06/ber73                         0.022540   0.030855   0.033241        nan        nan        nan        nan        nan        nan    0.64        nan        nan    0.91  -0.335904  -0.490631  -0.408238  -0.461968  -0.497108  -0.148155   0.191471   0.85    9.62011    10.0207    9.60012    9.29612    9.27283     10.022   0.336052   0.83   0.198196  0.0744049   0.162955  0.0777177  0.0570257   0.353847   0.131118   0.87    13.6966    12.9593    13.6978    14.2249    13.0831    14.3011   0.543105   0.91    3916.01    2374.19    3268.09    2636.77    2110.61    5854.93    2177.58   0.85   0.518598   0.323637   0.529757   0.596697   0.217496   0.809765   0.257128   0.97   3.10E+00
06/ber26                        -0.018679  -0.011852   0.041360        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.41  0.0249882  0.0572324  0.0741602    0.17598   -0.19675   0.243379   0.214649    0.9    9.91917    9.81429     9.9355     10.024    9.79084    10.0622   0.129337   0.95    0.54411     0.5745   0.553801   0.575752   0.497263    0.58745  0.0421475   0.94    13.3136    13.3047     13.298    13.2419    12.9621    13.6737   0.355593    1.0    5435.61     6540.7    4635.65    3328.07    2324.89    8461.58    3441.55   0.88   0.721564   0.966868   0.781852    0.88979   0.451937   0.951879   0.232118   0.91   3.10E+00
06/vdbh4                         0.001355   0.004102   0.029981        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.71  -0.201621  -0.305192  -0.287398  -0.396538  -0.443084   0.145328   0.244023    0.9    9.09083    8.91952     9.1038    9.12309    8.87583    9.28253   0.206764   0.99   0.298596   0.430736    0.33806   0.394459   0.128861   0.427594   0.129413   0.89    14.6207    14.7934     14.548    14.4983    14.2164    15.0435   0.407451   0.94     2142.6    1572.91    1806.86    1445.04    1075.86    3269.11    1231.08   0.87   0.614058   0.567252   0.641945   0.802102   0.322062   0.883267   0.247639   0.96   3.10E+00
06/arpm2                        -0.003362   0.002218   0.052333        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.85  -0.298876 0.00817808  -0.332708  -0.479348  -0.503074 -0.0672408   0.199752   0.93    9.62749    9.59882    9.61035    9.60098    9.55852    9.69146  0.0797809   0.94   0.625173   0.584343   0.633586   0.641485   0.583403   0.662521  0.0424961   0.96    15.1838    15.0915    15.1884    15.1838    15.0973     15.295   0.125951   0.93    10958.9    6403.17    9849.47    8247.22    7097.54    13919.5    5216.95   0.74   0.373127   0.160175   0.341922   0.308408   0.169729   0.568541   0.196831   0.96   3.10E+00
06/vdbh144                      -0.000974  -0.001320   0.025338        nan        nan        nan        nan        nan        nan    0.68        nan        nan    0.94  -0.497855  -0.537079   -0.53015  -0.535538  -0.547223  -0.481777  0.0900158   0.61    9.01265    9.02263    9.02025    9.02071    8.99173    9.03132  0.0365352   0.74   0.821714   0.829016    0.82566   0.827936   0.804997   0.842688  0.0285721   0.87    15.0228    14.9885    15.0128    14.9962    14.9548    15.0876  0.0871945   0.89    6937.05    6986.71    6886.27    6919.74    6093.68    7610.42    938.164   0.94    0.33214   0.311423    0.32434   0.312273   0.252081   0.411538  0.0852764   0.99   3.10E+00
06/czernik30                    -0.031131   0.018617   0.043015        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.68  -0.256294  -0.404463      -0.32  -0.404716   -0.44689 -0.0362333   0.210563   0.94    9.56643    9.47076    9.55642    9.55133     9.4823    9.65106  0.0954913   0.96   0.281247   0.329099    0.29123   0.317519   0.221869   0.334547      0.058   0.97     14.061    14.1396    14.0776    14.0932    13.9011    14.2145   0.170889   0.98    7717.06    5785.17    7165.94     6217.0    4297.12    11266.0    3517.05   0.96   0.749698    0.76785   0.786037   0.851816   0.582702   0.930685   0.187689   0.91   3.10E+00
06/fsr1212                       0.002485  -0.005474   0.057614        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.72  -0.111155  0.0302847  -0.122407  -0.133793  -0.336593   0.108605   0.202303   0.98    9.10294     9.0765    9.10073    9.09774    9.04813    9.15843    0.10479   0.66   0.658961    0.62972   0.663483   0.676336   0.601038   0.722336  0.0692775   0.93    15.0182     14.975    15.0104    14.9926    14.8524    15.2009   0.223204   0.87     6043.8    4745.49    4992.63    4332.12    3556.59    8352.05    3411.52   0.78    0.53218   0.385961   0.508895   0.456156   0.332046   0.764673   0.204573   0.98   3.10E+00
