# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 1997852867227650176" 15.27036 1.84169 1.20267 0.11616 1.03742 0.14117 0.54
"Gaia EDR3 1997853073386057344" 16.02672 1.70308 1.20174 0.11571 1.02084 0.13550 0.54
"Gaia EDR3 1997853073386067840" 16.17763 1.69295 1.20082 0.11524 1.02033 0.13091 0.53
"Gaia EDR3 1997853073387207296" 16.18973 1.68124 1.20074 0.11525 1.02079 0.13104 0.53
"Gaia EDR3 1997853142105532288" 16.20063 1.69642 1.20066 0.11524 1.02017 0.13094 0.53
"Gaia EDR3 1997853073386056320" 16.21196 1.69592 1.20065 0.11525 1.01959 0.13095 0.53
"Gaia EDR3 1997849946649903616" 16.24173 1.68207 1.20050 0.11524 1.02138 0.13114 0.53
"Gaia EDR3 1997854001098974976" 16.25884 1.76410 1.20025 0.11500 1.01932 0.13133 0.52
"Gaia EDR3 1997852970306862336" 16.69028 1.60949 1.19680 0.11325 1.02633 0.13278 0.56
"Gaia EDR3 1997853107737032576" 16.94013 1.64338 1.19405 0.11147 1.02404 0.13521 0.56
"Gaia EDR3 1997852764148567680" 17.39315 1.28761 1.18841 0.10902 1.04735 0.12731 0.61
"Gaia EDR3 1997853000363468800" 17.39511 1.66172 1.18964 0.11018 1.01671 0.12889 0.56
"Gaia EDR3 1997853966739231872" 17.43051 1.28105 1.18794 0.10885 1.04598 0.12713 0.62
"Gaia EDR3 1997853137802391552" 17.75071 1.50425 1.18539 0.10899 1.01822 0.12045 0.59
"Gaia EDR3 1997853103442620672" 17.78824 1.66603 1.18573 0.10922 1.00010 0.11780 0.53
"Gaia EDR3 1997853073386069376" 17.86207 1.21057 1.17761 0.10308 1.04445 0.11151 0.68
"Gaia EDR3 1997853073386057728" 17.98924 1.37944 1.17847 0.10350 1.01994 0.11194 0.64
"Gaia EDR3 1997853069082914560" 18.03019 0.68628 1.15781 0.09563 1.04343 0.09351 0.56
"Gaia EDR3 1997853107737034752" 18.03502 0.96044 1.16309 0.09618 1.04356 0.09549 0.61
"Gaia EDR3 1997853962436185088" 18.06484 1.31688 1.17344 0.10006 1.01627 0.10944 0.66
"Gaia EDR3 1997853137802412032" 18.09329 1.23966 1.16872 0.09795 1.01780 0.10657 0.69
"Gaia EDR3 1997852901588524416" 18.11730 1.28483 1.16954 0.09814 1.00943 0.10765 0.67
"Gaia EDR3 1997852901578705664" 18.11830 1.19094 1.16509 0.09602 1.01995 0.10318 0.69
"Gaia EDR3 1997852862924415616" 18.12497 1.35092 1.17228 0.09947 1.00487 0.10910 0.65
"Gaia EDR3 1997853137802391424" 18.16191 1.30021 1.16790 0.09715 1.00189 0.10657 0.67
"Gaia EDR3 1997853137802865664" 18.20599 1.27117 1.16424 0.09551 0.99829 0.10276 0.68
"Gaia EDR3 1997853932379496192" 18.23952 1.57024 1.17509 0.10219 0.97331 0.10668 0.52
"Gaia EDR3 1997853069082884224" 18.25403 1.22770 1.15940 0.09347 0.99845 0.10201 0.69
"Gaia EDR3 1997852867218927616" 18.25761 1.61371 1.17498 0.10183 0.96871 0.10550 0.50
"Gaia EDR3 1997853034723095040" 18.27426 1.23315 1.15838 0.09289 0.99560 0.10295 0.69
"Gaia EDR3 1997853069083402752" 18.28089 1.58017 1.17397 0.10129 0.96867 0.10658 0.52
"Gaia EDR3 1997852862924421504" 18.28530 1.49740 1.17162 0.09932 0.97239 0.10696 0.56
"Gaia EDR3 1997852901587392640" 18.29223 1.41955 1.16813 0.09738 0.97611 0.10587 0.60
"Gaia EDR3 1997853107737033600" 18.30631 1.47126 1.16966 0.09844 0.97131 0.10648 0.57
"Gaia EDR3 1997852862924390784" 18.33161 1.43093 1.16677 0.09659 0.97052 0.10489 0.59
"Gaia EDR3 1997853176466422656" 18.39201 1.21464 1.14983 0.08899 0.98434 0.10191 0.67
"Gaia EDR3 1997853069089617536" 18.39870 1.25156 1.15069 0.08913 0.97819 0.10327 0.66
"Gaia EDR3 1997852725485498880" 18.40004 1.70990 1.17140 0.10028 0.94888 0.09975 0.47
"Gaia EDR3 1997852862924436224" 18.43624 0.82776 1.13963 0.08787 0.99024 0.09602 0.53
"Gaia EDR3 1997852828564651136" 18.47347 1.00408 1.14002 0.08706 0.98383 0.09571 0.55
"Gaia EDR3 1997853137802408960" 18.48472 1.17423 1.14267 0.08641 0.97887 0.09684 0.65
"Gaia EDR3 1997853142096776448" 18.49099 1.21826 1.14361 0.08681 0.97084 0.10114 0.66
"Gaia EDR3 1997852725485453568" 18.50785 1.30659 1.14576 0.08774 0.96083 0.10307 0.63
"Gaia EDR3 1997853447039998336" 18.53474 1.56906 1.16021 0.09537 0.93666 0.09837 0.49
"Gaia EDR3 1997853550119258880" 18.54158 1.19872 1.13904 0.08554 0.96660 0.09928 0.65
"Gaia EDR3 1997852931643907840" 18.56146 1.18027 1.13715 0.08479 0.96376 0.09984 0.63
"Gaia EDR3 1997853103442631680" 18.57457 1.28759 1.13928 0.08548 0.95158 0.10193 0.63
"Gaia EDR3 1997852862924436480" 18.58282 1.25184 1.13727 0.08494 0.95532 0.10046 0.64
"Gaia EDR3 1997852966003680768" 18.66547 1.20312 1.12931 0.08292 0.95133 0.09513 0.62
"Gaia EDR3 1997853206521877888" 18.68423 1.27560 1.12955 0.08303 0.94473 0.09609 0.63
"Gaia EDR3 1997853859356915072" 18.68884 1.29339 1.12978 0.08317 0.94232 0.09569 0.62
"Gaia EDR3 1997853137802391680" 18.73629 1.22834 1.12357 0.08132 0.93955 0.09332 0.62
"Gaia EDR3 1997853069082905472" 18.75158 1.21561 1.12172 0.08112 0.93957 0.09278 0.61
"Gaia EDR3 1997853996795907584" 18.75213 1.11678 1.12025 0.08077 0.93998 0.09241 0.54
"Gaia EDR3 1997852862924956416" 18.75441 1.23104 1.12175 0.08119 0.93800 0.09270 0.62
"Gaia EDR3 1997853206521904768" 18.77429 1.27731 1.12054 0.08102 0.93435 0.09116 0.63
"Gaia EDR3 1997853069083388800" 18.83346 1.23107 1.11343 0.07962 0.92557 0.08980 0.61
"Gaia EDR3 1997852862924390912" 18.84327 1.21038 1.11225 0.07925 0.92248 0.08836 0.60
"Gaia EDR3 1997853481399740928" 18.85617 1.19746 1.11107 0.07907 0.92078 0.08973 0.59
"Gaia EDR3 1997853137802864896" 18.86657 1.27143 1.11047 0.07904 0.91879 0.09047 0.63
"Gaia EDR3 1997854168594630656" 18.86737 1.20073 1.10983 0.07890 0.92113 0.09011 0.59
"Gaia EDR3 1997853898010970624" 18.90727 1.21473 1.10596 0.07812 0.91319 0.09095 0.59
"Gaia EDR3 1997854138537917440" 18.91795 1.52124 1.11379 0.08510 0.90409 0.08942 0.52
"Gaia EDR3 1997853069082885120" 18.93608 1.24992 1.10307 0.07745 0.90757 0.08847 0.62
"Gaia EDR3 1997853034723118720" 18.96160 1.23057 1.10001 0.07682 0.90410 0.09021 0.60
"Gaia EDR3 1997853172162135040" 18.97325 1.24216 1.09851 0.07677 0.90322 0.08957 0.60
"Gaia EDR3 1997853069082885248" 18.99807 1.27248 1.09583 0.07650 0.90153 0.08904 0.61
"Gaia EDR3 1997853034723139840" 19.00877 1.24111 1.09446 0.07617 0.89935 0.09030 0.59
"Gaia EDR3 1997849976706363904" 19.01445 1.31694 1.09428 0.07644 0.89997 0.08589 0.62
"Gaia EDR3 1997852828564631936" 19.03420 1.12174 1.09126 0.07501 0.89164 0.08812 0.47
"Gaia EDR3 1997853069082905344" 19.06192 1.27329 1.08887 0.07545 0.89411 0.08561 0.61
"Gaia EDR3 1997852656765946496" 19.06974 1.51979 1.09168 0.07989 0.88898 0.08130 0.55
"Gaia EDR3 1997853142096757760" 19.07884 1.26033 1.08702 0.07508 0.89167 0.08378 0.60
"Gaia EDR3 1997853142096752768" 19.08153 1.11143 1.08577 0.07453 0.88496 0.08732 0.46
"Gaia EDR3 1997852725485462272" 19.09186 1.17404 1.08505 0.07418 0.88657 0.08497 0.51
"Gaia EDR3 1997853928076399616" 19.11025 1.24767 1.08323 0.07465 0.88589 0.08350 0.59
"Gaia EDR3 1997853142105526656" 19.11474 1.22685 1.08278 0.07407 0.88596 0.08411 0.56
"Gaia EDR3 1997853859356903936" 19.12141 1.28111 1.08189 0.07450 0.88519 0.08255 0.61
"Gaia EDR3 1997852901578679424" 19.14157 1.34219 1.07957 0.07430 0.88142 0.08301 0.62
"Gaia EDR3 1997852725485423360" 19.14934 1.28829 1.07833 0.07324 0.88010 0.08501 0.61
"Gaia EDR3 1997853863660020224" 19.15889 1.20500 1.07707 0.07304 0.87860 0.08271 0.52
"Gaia EDR3 1997853859356895872" 19.16147 1.23627 1.07692 0.07291 0.87745 0.08328 0.56
"Gaia EDR3 1997853103442631808" 19.16350 1.31721 1.07666 0.07324 0.87789 0.08326 0.62
"Gaia EDR3 1997853103442643968" 19.16404 1.24020 1.07665 0.07287 0.87717 0.08326 0.56
"Gaia EDR3 1997849976706378496" 19.17704 1.22454 1.07528 0.07297 0.87717 0.08248 0.54
"Gaia EDR3 1997853481399782016" 19.18127 1.20654 1.07468 0.07291 0.87689 0.08270 0.51
