# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 5246556337411619328" 13.99979 1.82656 1.22982 0.04405 1.04915 0.09214 0.60
"Gaia EDR3 5246559532862386560" 15.43234 1.49372 1.22955 0.04415 1.04919 0.10030 0.62
"Gaia EDR3 5246559670301380096" 15.58522 1.45774 1.22924 0.04415 1.05418 0.10064 0.61
"Gaia EDR3 5246554928657386624" 15.84688 1.42884 1.22917 0.04387 1.05966 0.09868 0.63
"Gaia EDR3 5246557952314362752" 15.89390 1.36460 1.22964 0.04391 1.06541 0.09845 0.64
"Gaia EDR3 5246559532862371712" 16.16002 1.38308 1.23010 0.04446 1.04909 0.09626 0.62
"Gaia EDR3 5246556474845631488" 16.16241 1.26667 1.23121 0.04468 1.06619 0.09707 0.62
"Gaia EDR3 5246557917954613888" 16.18094 1.30490 1.23095 0.04471 1.05967 0.09799 0.63
"Gaia EDR3 5246557948014057600" 16.18654 1.34395 1.23055 0.04469 1.05444 0.09681 0.62
"Gaia EDR3 5246556234327495936" 16.21455 1.29344 1.23086 0.04467 1.06037 0.09709 0.62
"Gaia EDR3 5246556406126158464" 16.21472 1.29041 1.23088 0.04467 1.06072 0.09718 0.62
"Gaia EDR3 5246556990241822848" 16.23498 1.36528 1.23003 0.04450 1.04830 0.09771 0.60
"Gaia EDR3 5246556474845644160" 16.33283 1.32474 1.22982 0.04458 1.04538 0.09419 0.60
"Gaia EDR3 5246559429783133056" 16.33753 1.38516 1.22921 0.04447 1.04054 0.09593 0.58
"Gaia EDR3 5246556749723639552" 16.35417 1.35977 1.22932 0.04450 1.03953 0.09632 0.58
"Gaia EDR3 5246556951567079424" 16.47530 1.38206 1.22763 0.04410 1.03967 0.09606 0.58
"Gaia EDR3 5246559429783126656" 16.64311 1.36142 1.22576 0.04362 1.04112 0.09134 0.60
"Gaia EDR3 5246556509205409920" 16.74339 1.19574 1.22489 0.04328 1.06072 0.08943 0.61
"Gaia EDR3 5246556199967735168" 16.75872 1.33746 1.22464 0.04320 1.04734 0.09086 0.62
"Gaia EDR3 5246554997377410304" 16.79868 1.34277 1.22428 0.04314 1.04446 0.09093 0.62
"Gaia EDR3 5246559429783145472" 16.80156 1.32373 1.22427 0.04314 1.04828 0.09216 0.62
"Gaia EDR3 5246556440486427648" 16.91310 1.28994 1.22331 0.04298 1.04040 0.09376 0.63
"Gaia EDR3 5246556440485936384" 17.02038 0.28883 1.22172 0.04275 1.07089 0.08686 0.53
"Gaia EDR3 5246559532862371200" 17.19720 1.22764 1.22105 0.04243 1.03599 0.09028 0.64
"Gaia EDR3 5246556539255197568" 17.23199 0.39130 1.22021 0.04227 1.07947 0.08167 0.53
"Gaia EDR3 5246556612284633344" 17.40588 1.25727 1.21971 0.04220 1.03699 0.09412 0.64
"Gaia EDR3 5246556642331981824" 17.44806 1.26808 1.21942 0.04225 1.03462 0.09490 0.63
