ID MP sel
"Gaia EDR3 5237115621348452480" 1.0 1
"Gaia EDR3 5237116823939316480" 1.0 1
"Gaia EDR3 5237115586988713600" 1.0 1
"Gaia EDR3 5237116892658784640" 1.0 1
"Gaia EDR3 5237115410874745728" 1.0 1
"Gaia EDR3 5237115415180493696" 1.0 1
"Gaia EDR3 5237116858299062912" 1.0 1
"Gaia EDR3 5237116892649269120" 1.0 1
"Gaia EDR3 5237115415180496000" 1.0 1
"Gaia EDR3 5237116823929805440" 1.0 1
"Gaia EDR3 5237115617033044096" 1.0 1
"Gaia EDR3 5237115410866225152" 1.0 1
"Gaia EDR3 5237116819614744064" 1.0 1
"Gaia EDR3 5237115342143890816" 1.0 1
"Gaia EDR3 5237116823939319168" 1.0 1
"Gaia EDR3 5237116823939318656" 1.0 1
"Gaia EDR3 5237115410866226816" 1.0 1
"Gaia EDR3 5237115415180458240" 1.0 1
"Gaia EDR3 5237116888334976128" 1.0 1
"Gaia EDR3 5237115376503620224" 1.0 1
"Gaia EDR3 5237115415190030720" 1.0 1
"Gaia EDR3 5237115415190030080" 1.0 1
"Gaia EDR3 5237116892658789760" 1.0 1
"Gaia EDR3 5237115415190034432" 1.0 1
"Gaia EDR3 5237115342146752128" 1.0 1
"Gaia EDR3 5237115380830288768" 1.0 1
"Gaia EDR3 5237105102944723584" 1.0 1
"Gaia EDR3 5237116819615504128" 1.0 1
"Gaia EDR3 5237115410866225664" 1.0 1
"Gaia EDR3 5237115410866223360" 1.0 1
"Gaia EDR3 5237115415180495744" 1.0 1
"Gaia EDR3 5237115346461041024" 1.0 1
"Gaia EDR3 5237105068584982528" 1.0 1
"Gaia EDR3 5237115415180482304" 1.0 1
"Gaia EDR3 5237116853974315264" 1.0 1
"Gaia EDR3 5237116823929794304" 1.0 1
"Gaia EDR3 5237115415180509312" 1.0 1
"Gaia EDR3 5237115415180486784" 1.0 1
"Gaia EDR3 5237115346462355584" 1.0 1
"Gaia EDR3 5237116858289603456" 1.0 1
"Gaia EDR3 5237116823929808896" 1.0 1
"Gaia EDR3 5237115380820724864" 1.0 1
"Gaia EDR3 5237115415180478336" 1.0 1
"Gaia EDR3 5237115346472780928" 1.0 1
"Gaia EDR3 5237116823929818496" 1.0 1
"Gaia EDR3 5237116823929824640" 1.0 1
"Gaia EDR3 5237115380820729856" 1.0 1
"Gaia EDR3 5237116858289598208" 1.0 1
"Gaia EDR3 5237116892661007744" 1.0 1
"Gaia EDR3 5237116823929834880" 1.0 1
"Gaia EDR3 5237115415180475136" 1.0 1
"Gaia EDR3 5237115415180497920" 1.0 1
"Gaia EDR3 5237115415180483072" 1.0 1
"Gaia EDR3 5237115346461043456" 1.0 1
"Gaia EDR3 5237105107268544768" 1.0 1
"Gaia EDR3 5237115346461057920" 1.0 1
"Gaia EDR3 5237116858289596800" 1.0 1
"Gaia EDR3 5237115380830291840" 1.0 1
"Gaia EDR3 5237115380820715008" 1.0 1
"Gaia EDR3 5237115415180479360" 1.0 1
"Gaia EDR3 5237116819614727936" 1.0 -1
"Gaia EDR3 5237115380820703104" 1.0 -1
"Gaia EDR3 5237115415190033024" 1.0 -1
"Gaia EDR3 5237115380820713856" 1.0 -1
"Gaia EDR3 5237115410863388672" 1.0 -1
