# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 3044446924501590528" 15.03496 0.77128 2.01564 0.21333 1.76463 0.23578 0.54
"Gaia EDR3 3044448127092412672" 15.51868 2.02890 2.01247 0.21399 1.74207 0.24280 0.55
"Gaia EDR3 3044448260231338112" 15.90835 1.95277 2.01257 0.21467 1.75227 0.24451 0.56
"Gaia EDR3 3044448676848169600" 16.37026 1.71993 2.01647 0.21341 1.75905 0.21545 0.65
"Gaia EDR3 3044447371178153344" 16.79667 1.94278 2.00529 0.20688 1.66443 0.21646 0.49
"Gaia EDR3 3044460290443505280" 16.86949 1.84942 2.00472 0.20457 1.65373 0.20284 0.51
"Gaia EDR3 3044448157152152192" 16.89390 1.79275 2.00471 0.20310 1.65341 0.19523 0.56
"Gaia EDR3 3044448092732666752" 16.90705 1.66927 2.00642 0.20149 1.67746 0.19197 0.63
"Gaia EDR3 3044448264531346432" 16.91822 1.89489 2.00119 0.20316 1.63952 0.20312 0.48
"Gaia EDR3 3044448500749564416" 16.92426 1.71805 2.00490 0.20161 1.66357 0.19466 0.61
"Gaia EDR3 3044448470689779200" 16.93615 1.79137 2.00301 0.20140 1.64727 0.19321 0.55
"Gaia EDR3 3044448092736397440" 16.98012 0.85782 1.93277 0.16819 1.70227 0.16915 0.62
"Gaia EDR3 3044448195811863680" 17.02378 1.86723 1.99531 0.19992 1.61858 0.19128 0.47
"Gaia EDR3 3044448466389774976" 17.08363 1.79810 1.99330 0.19718 1.61583 0.18767 0.51
"Gaia EDR3 3044448127096148608" 17.08595 1.88492 1.99111 0.19726 1.60586 0.18831 0.44
"Gaia EDR3 3044448264531343872" 17.11880 1.81733 1.99010 0.19600 1.60834 0.18605 0.48
"Gaia EDR3 3044448573768973568" 17.12025 1.06425 1.93248 0.16690 1.67247 0.16386 0.64
"Gaia EDR3 3044448500749555712" 17.14332 1.75462 1.98949 0.19438 1.61127 0.18124 0.53
"Gaia EDR3 3044448298891070848" 17.15367 1.15707 1.93630 0.16725 1.65717 0.16556 0.64
"Gaia EDR3 3044447886577968768" 17.35163 1.25354 1.91927 0.16071 1.60515 0.16361 0.62
"Gaia EDR3 3044448264531344256" 17.43176 1.24396 1.90659 0.15715 1.58611 0.15967 0.63
"Gaia EDR3 3044448298887910656" 17.43765 1.31360 1.91190 0.15842 1.57756 0.15773 0.61
"Gaia EDR3 3044448157155170944" 17.45527 1.87984 1.96204 0.18715 1.55492 0.16075 0.39
"Gaia EDR3 3044448264531350784" 17.51600 1.22204 1.89208 0.15268 1.57143 0.16185 0.63
"Gaia EDR3 3044448470686687104" 17.56207 1.16257 1.88284 0.15018 1.57536 0.15698 0.64
"Gaia EDR3 3044448500749554944" 17.61455 1.00838 1.86877 0.14500 1.58655 0.15161 0.63
"Gaia EDR3 3044459912479592704" 17.65862 1.23413 1.87356 0.14543 1.53696 0.15567 0.62
"Gaia EDR3 3044448470689770368" 17.68019 1.19734 1.86805 0.14335 1.53762 0.15633 0.63
"Gaia EDR3 3044448573772716800" 17.71113 1.05568 1.85650 0.14127 1.55929 0.14932 0.63
"Gaia EDR3 3044447886574235648" 17.79656 1.18660 1.84924 0.13818 1.51865 0.15006 0.62
"Gaia EDR3 3044448092732668672" 17.82588 1.30548 1.85104 0.13896 1.48393 0.14807 0.58
"Gaia EDR3 3044448401974009088" 17.83876 1.10550 1.83987 0.13640 1.52347 0.14701 0.63
"Gaia EDR3 3044448466389787520" 17.85857 0.97371 1.83170 0.13417 1.53496 0.14300 0.60
"Gaia EDR3 3044448294591109376" 17.85911 0.95875 1.83098 0.13411 1.53566 0.14257 0.59
"Gaia EDR3 3044448397670337792" 17.92506 1.03934 1.82163 0.13122 1.51321 0.13829 0.61
