ID MP sel
"Gaia EDR3 5516043506329855616" 1.0 1
"Gaia EDR3 5516043304472455168" 1.0 1
"Gaia EDR3 5516044369624316672" 1.0 1
"Gaia EDR3 5516043957295942144" 1.0 1
"Gaia EDR3 5516038631547992960" 1.0 1
"Gaia EDR3 5516043510630861312" 1.0 1
"Gaia EDR3 5516044335264571904" 1.0 1
"Gaia EDR3 5516038352366118400" 1.0 1
"Gaia EDR3 5516043613710076800" 1.0 1
"Gaia EDR3 5516043441911393536" 1.0 1
"Gaia EDR3 5516043407552383232" 1.0 1
"Gaia EDR3 5516044300904832000" 1.0 1
"Gaia EDR3 5516044266545099136" 1.0 1
"Gaia EDR3 5516043441911394048" 1.0 1
"Gaia EDR3 5516043304472454784" 1.0 1
"Gaia EDR3 5516043510630860544" 1.0 1
"Gaia EDR3 5516044227881409664" 1.0 1
"Gaia EDR3 5516044266545102336" 1.0 1
"Gaia EDR3 5516044369624318080" 1.0 1
"Gaia EDR3 5516043540686599296" 1.0 1
"Gaia EDR3 5516043613710080512" 1.0 1
"Gaia EDR3 5516044369624317184" 1.0 1
"Gaia EDR3 5516044266545097344" 1.0 1
"Gaia EDR3 5516044335252963840" 1.0 1
"Gaia EDR3 5516043441899832704" 1.0 1
"Gaia EDR3 5516043471967132928" 1.0 1
"Gaia EDR3 5516044335264570624" 1.0 1
"Gaia EDR3 5516044296601904384" 1.0 1
"Gaia EDR3 5516043609406134272" 1.0 1
"Gaia EDR3 5516038631547996416" 1.0 1
"Gaia EDR3 5516043609406173824" 1.0 1
"Gaia EDR3 5516043403247597568" 1.0 1
"Gaia EDR3 5516043510619292800" 1.0 1
"Gaia EDR3 5516043510630863872" 1.0 1
"Gaia EDR3 5516043471967106048" 1.0 1
"Gaia EDR3 5516044266545099904" 1.0 1
"Gaia EDR3 5516044369624314752" 1.0 1
"Gaia EDR3 5516043643776088832" 1.0 1
"Gaia EDR3 5516043506326919040" 1.0 1
"Gaia EDR3 5516043540686620032" 1.0 1
"Gaia EDR3 5516044262244099328" 1.0 1
"Gaia EDR3 5516044399680222720" 1.0 1
"Gaia EDR3 5516043510630859520" 1.0 1
"Gaia EDR3 5516043437607357824" 1.0 1
"Gaia EDR3 5516043506326931072" 1.0 1
