# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 5241870386342389504" 15.95562 1.77581 1.46505 0.20708 1.26999 0.23079 0.56
"Gaia EDR3 5241870356327143680" 16.01168 0.58277 1.46726 0.20968 1.28913 0.23683 0.53
"Gaia EDR3 5241870493766121344" 16.34275 1.77336 1.46579 0.20846 1.28071 0.23331 0.57
"Gaia EDR3 5241870390686896896" 16.61886 2.25554 1.46408 0.20703 1.26949 0.22700 0.57
"Gaia EDR3 5241870489466073216" 17.42175 2.03638 1.46352 0.20744 1.26320 0.22854 0.58
"Gaia EDR3 5241870390686892160" 17.55445 2.25887 1.46090 0.20492 1.25094 0.22407 0.55
"Gaia EDR3 5241870390663295360" 17.61138 2.10208 1.46177 0.20608 1.25162 0.22429 0.57
"Gaia EDR3 5241870390686893824" 17.70937 2.09395 1.46106 0.20541 1.24574 0.22030 0.57
"Gaia EDR3 5241870489421604352" 17.76113 2.05302 1.46085 0.20531 1.25050 0.22175 0.57
"Gaia EDR3 5241870493742540288" 17.81989 2.23380 1.45897 0.20383 1.23998 0.21642 0.54
"Gaia EDR3 5241870493766120576" 17.83273 1.97238 1.46097 0.20578 1.25636 0.22444 0.58
"Gaia EDR3 5241870390686893568" 17.84433 2.06956 1.46003 0.20491 1.24826 0.21989 0.57
"Gaia EDR3 5241870390686888960" 17.90182 2.02406 1.45995 0.20530 1.24641 0.21531 0.56
"Gaia EDR3 5241870390686897024" 17.90705 2.34449 1.45703 0.20305 1.22417 0.20824 0.52
"Gaia EDR3 5241870390686887040" 17.91494 2.16922 1.45877 0.20457 1.23439 0.21030 0.54
"Gaia EDR3 5241870489421606784" 17.93189 2.16365 1.45863 0.20448 1.23506 0.20815 0.54
"Gaia EDR3 5241870390663279104" 18.08193 2.09149 1.45666 0.20284 1.22694 0.20562 0.54
"Gaia EDR3 5241870390663278720" 18.21503 1.98841 1.45443 0.20139 1.23027 0.20161 0.55
"Gaia EDR3 5241870386386848896" 18.27410 2.15845 1.45178 0.19978 1.22083 0.19899 0.52
"Gaia EDR3 5241870386333629568" 18.51280 1.15445 1.43799 0.18512 1.24877 0.20135 0.58
"Gaia EDR3 5241870493742543872" 18.57978 2.07253 1.44409 0.19287 1.21736 0.19145 0.55
"Gaia EDR3 5241870489466069760" 18.63574 1.52167 1.43791 0.18573 1.23875 0.19694 0.61
"Gaia EDR3 5242058059251068160" 18.70363 1.60243 1.43676 0.18521 1.22963 0.19244 0.61
