ID MP sel
"Gaia EDR3 5241870386342389504" 1.0 1
"Gaia EDR3 5241870356327143680" 1.0 1
"Gaia EDR3 5241870493766121344" 1.0 1
"Gaia EDR3 5241870390686896896" 1.0 1
"Gaia EDR3 5241870489466073216" 1.0 1
"Gaia EDR3 5241870390686892160" 1.0 1
"Gaia EDR3 5241870390663295360" 1.0 1
"Gaia EDR3 5241870390686893824" 1.0 1
"Gaia EDR3 5241870489421604352" 1.0 1
"Gaia EDR3 5241870493742540288" 1.0 1
"Gaia EDR3 5241870493766120576" 1.0 1
"Gaia EDR3 5241870390686893568" 1.0 1
"Gaia EDR3 5241870390686888960" 1.0 1
"Gaia EDR3 5241870390686897024" 1.0 1
"Gaia EDR3 5241870390686887040" 1.0 1
"Gaia EDR3 5241870489421606784" 1.0 1
"Gaia EDR3 5241870390663279104" 1.0 1
"Gaia EDR3 5241870390663278720" 1.0 1
"Gaia EDR3 5241870386386848896" 1.0 1
"Gaia EDR3 5241870386333629568" 1.0 1
"Gaia EDR3 5241870493742543872" 1.0 1
"Gaia EDR3 5241870489466069760" 1.0 1
"Gaia EDR3 5242058059251068160" 1.0 1
"Gaia EDR3 5241870390686887296" 1.0 1
"Gaia EDR3 5241870489466070528" 1.0 1
"Gaia EDR3 5241870489432548352" 1.0 1
"Gaia EDR3 5241870386386850816" 1.0 1
"Gaia EDR3 5241870317667177088" 1.0 1
"Gaia EDR3 5241870386386852224" 1.0 1
"Gaia EDR3 5241870386386586880" 1.0 1
"Gaia EDR3 5242058059225529088" 1.0 1
"Gaia EDR3 5241870386386860800" 1.0 1
"Gaia EDR3 5241870489466078976" 1.0 1
"Gaia EDR3 5241870386386860416" 1.0 1
"Gaia EDR3 5241870390694037760" 1.0 1
"Gaia EDR3 5241870489466124672" 1.0 1
"Gaia EDR3 5241870352026855040" 1.0 1
"Gaia EDR3 5241870352026855168" 1.0 1
"Gaia EDR3 5241870386386856704" 1.0 1
"Gaia EDR3 5241870420746648960" 1.0 1
"Gaia EDR3 5241870386386598656" 1.0 1
"Gaia EDR3 5241870386386598144" 1.0 1
"Gaia EDR3 5241870489466081024" 1.0 1
"Gaia EDR3 5242058059240401280" 1.0 1
"Gaia EDR3 5241870386386597888" 1.0 1
"Gaia EDR3 5241870386386861056" 1.0 1
"Gaia EDR3 5241870386386598400" 1.0 1
"Gaia EDR3 5241870386386600704" 1.0 1
"Gaia EDR3 5241870386386857728" 1.0 1
"Gaia EDR3 5241870420713089408" 1.0 1
"Gaia EDR3 5241870489466088064" 1.0 1
"Gaia EDR3 5241870386386671872" 1.0 1
"Gaia EDR3 5241870386386616064" 1.0 1
"Gaia EDR3 5242058024890779904" 1.0 1
"Gaia EDR3 5241870420746445824" 1.0 1
"Gaia EDR3 5241870386342389632" 1.0 -1
"Gaia EDR3 5241870386342389760" 1.0 -1
"Gaia EDR3 5241870386353326336" 1.0 -1
"Gaia EDR3 5241870386386596480" 1.0 -1
"Gaia EDR3 5241870386386847488" 1.0 -1
"Gaia EDR3 5241870386386848128" 1.0 -1
"Gaia EDR3 5241870386386850560" 1.0 -1
"Gaia EDR3 5241870386386851072" 1.0 -1
"Gaia EDR3 5241870386386851200" 1.0 -1
"Gaia EDR3 5241870386386852864" 1.0 -1
"Gaia EDR3 5241870386386856320" 1.0 -1
"Gaia EDR3 5241870386386869120" 1.0 -1
"Gaia EDR3 5241870390663285888" 1.0 -1
"Gaia EDR3 5241870390663301248" 1.0 -1
"Gaia EDR3 5241870390686894592" 1.0 -1
"Gaia EDR3 5241870390686895232" 1.0 -1
"Gaia EDR3 5241870390694038016" 1.0 -1
"Gaia EDR3 5241870489466076672" 1.0 -1
"Gaia EDR3 5241870489466079744" 1.0 -1
"Gaia EDR3 5241870489466082688" 1.0 -1
"Gaia EDR3 5241870489466095360" 1.0 -1
"Gaia EDR3 5241870493766123520" 1.0 -1
"Gaia EDR3 5241870493766125056" 1.0 -1
"Gaia EDR3 5242058063559227264" 1.0 -1
"Gaia EDR3 5242058063559229568" 1.0 -1
