ID MP sel
"Gaia EDR3 3111897216920309504" 1.0 1
"Gaia EDR3 3111894266281620096" 1.0 1
"Gaia EDR3 3111894231921883520" 1.0 1
"Gaia EDR3 3111897319999529600" 1.0 1
"Gaia EDR3 3111894193263284864" 1.0 1
"Gaia EDR3 3111897216920315264" 1.0 1
"Gaia EDR3 3111895709390634112" 1.0 1
"Gaia EDR3 3111897216920315136" 1.0 1
"Gaia EDR3 3111897354359291520" 1.0 1
"Gaia EDR3 3111897285639795456" 1.0 1
"Gaia EDR3 3111897319999530496" 1.0 1
"Gaia EDR3 3111897319999545344" 1.0 1
"Gaia EDR3 3111894365062035968" 1.0 1
"Gaia EDR3 3111897216923865216" 1.0 1
"Gaia EDR3 3111894261982784640" 1.0 1
"Gaia EDR3 3111897319999530624" 1.0 1
"Gaia EDR3 3111897221219117568" 1.0 1
"Gaia EDR3 3111894261982793216" 1.0 1
"Gaia EDR3 3111897496097025280" 1.0 1
"Gaia EDR3 3111897319999561088" 1.0 1
"Gaia EDR3 3111897354359296768" 1.0 1
"Gaia EDR3 3111897388719055616" 1.0 1
"Gaia EDR3 3111894365062020096" 1.0 1
"Gaia EDR3 3111897285639798528" 1.0 1
"Gaia EDR3 3111897216920298240" 1.0 1
"Gaia EDR3 3111894261982793088" 1.0 1
"Gaia EDR3 3111897216920293248" 1.0 1
"Gaia EDR3 3111897216924563584" 1.0 1
"Gaia EDR3 3111897216920309888" 1.0 1
"Gaia EDR3 3111897319999541120" 1.0 1
"Gaia EDR3 3111894261982774144" 1.0 1
"Gaia EDR3 3111894365062020224" 1.0 1
"Gaia EDR3 3111897285644040064" 1.0 1
"Gaia EDR3 3111897319999545472" 1.0 1
"Gaia EDR3 3111894227623013632" 1.0 1
"Gaia EDR3 3111894266281709952" 1.0 1
"Gaia EDR3 3111894227623028864" 1.0 1
"Gaia EDR3 3111897319999545600" 1.0 1
"Gaia EDR3 3111897182560547072" 1.0 1
"Gaia EDR3 3111894300639252608" 1.0 1
"Gaia EDR3 3111897182560557184" 1.0 1
"Gaia EDR3 3111897388723255936" 1.0 1
"Gaia EDR3 3111897182560549120" 1.0 1
"Gaia EDR3 3111897354359310720" 1.0 1
"Gaia EDR3 3111894266279520384" 1.0 1
"Gaia EDR3 3111897221217020800" 1.0 1
"Gaia EDR3 3111897186859381760" 1.0 1
"Gaia EDR3 3111894261982816000" 1.0 1
"Gaia EDR3 3111894266279810176" 1.0 1
"Gaia EDR3 3111894261982793472" 1.0 1
"Gaia EDR3 3111897354359298688" 1.0 1
"Gaia EDR3 3111897354359293696" 1.0 1
"Gaia EDR3 3111894227623014656" 1.0 1
"Gaia EDR3 3111894296342533376" 1.0 1
"Gaia EDR3 3111897216920475136" 1.0 1
"Gaia EDR3 3111894163200316928" 1.0 1
"Gaia EDR3 3111897324298331264" 1.0 1
"Gaia EDR3 3111894261982773120" 1.0 1
"Gaia EDR3 3111894231919787264" 1.0 1
"Gaia EDR3 3111894296342695040" 1.0 1
"Gaia EDR3 3111897182560524416" 1.0 1
"Gaia EDR3 3111894158903536768" 1.0 1
"Gaia EDR3 3111894231921882624" 1.0 1
"Gaia EDR3 3111894369360832640" 1.0 1
"Gaia EDR3 3111897221217015296" 1.0 1
"Gaia EDR3 3111897388722555008" 1.0 1
"Gaia EDR3 3111894300639252096" 1.0 1
"Gaia EDR3 3111897427377543936" 1.0 1
"Gaia EDR3 3111897216920299776" 1.0 1
"Gaia EDR3 3111892681434759168" 1.0 1
"Gaia EDR3 3111894227623028992" 1.0 1
"Gaia EDR3 3111897221217019776" 1.0 1
"Gaia EDR3 3111897182560541440" 1.0 1
"Gaia EDR3 3111894158903517184" 1.0 1
"Gaia EDR3 3111894158903531648" 1.0 1
"Gaia EDR3 3111894158903776512" 1.0 1
"Gaia EDR3 3111894399421777920" 1.0 1
"Gaia EDR3 3111894231920072448" 1.0 1
"Gaia EDR3 3111897358655956096" 1.0 1
"Gaia EDR3 3111894231919793280" 1.0 1
"Gaia EDR3 3111897221219793152" 1.0 1
"Gaia EDR3 3111894369359024768" 1.0 1
"Gaia EDR3 3111895709388544512" 1.0 1
"Gaia EDR3 3111897393015702144" 1.0 1
"Gaia EDR3 3111897324299008000" 1.0 0
"Gaia EDR3 3111894266279516672" 1.0 -1
"Gaia EDR3 3111897255576767872" 1.0 -1
"Gaia EDR3 3111897358655958016" 1.0 -1
"Gaia EDR3 3111894296342519680" 1.0 -1
"Gaia EDR3 3111897221219118080" 1.0 -1
