# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 5353695327405919360" 14.45178 1.60159 1.27351 0.15898 1.10524 0.17721 0.60
"Gaia EDR3 5353694846369494784" 16.26297 2.13943 1.27211 0.15762 1.10192 0.17626 0.65
"Gaia EDR3 5353694949448723072" 16.27561 1.96499 1.27285 0.15838 1.10410 0.17652 0.66
"Gaia EDR3 5353694979487923200" 16.29929 1.97543 1.27279 0.15837 1.10492 0.17499 0.66
"Gaia EDR3 5353695018168166528" 16.40569 2.04637 1.27208 0.15780 1.09370 0.16655 0.66
"Gaia EDR3 5353695396125392384" 16.56176 2.02134 1.27143 0.15759 1.09699 0.16677 0.66
"Gaia EDR3 5353694983808499584" 16.59200 2.08251 1.27080 0.15698 1.09132 0.16124 0.65
"Gaia EDR3 5353694949448741888" 16.63097 2.15335 1.27039 0.15676 1.08743 0.16101 0.64
"Gaia EDR3 5353694983808493824" 16.63119 1.94208 1.27054 0.15673 1.09361 0.16311 0.65
"Gaia EDR3 5353694949448739712" 17.01973 1.35434 1.26672 0.15387 1.10824 0.17504 0.59
"Gaia EDR3 5353694812009740544" 17.54193 1.19499 1.25611 0.14686 1.11555 0.16714 0.59
"Gaia EDR3 5353695361765644160" 17.56256 1.49514 1.25737 0.14745 1.11156 0.16963 0.64
"Gaia EDR3 5353695357449534848" 17.64950 1.91897 1.25799 0.14828 1.08470 0.15973 0.68
"Gaia EDR3 5353695288725569408" 17.65302 1.26734 1.25428 0.14598 1.11387 0.16156 0.61
"Gaia EDR3 5353695327405922176" 17.67655 1.49629 1.25555 0.14649 1.11023 0.16544 0.65
"Gaia EDR3 5353694983808491776" 18.04639 1.59114 1.24836 0.14213 1.09577 0.15218 0.68
"Gaia EDR3 5353695357447091584" 18.15620 1.95258 1.24897 0.14271 1.05662 0.14249 0.66
"Gaia EDR3 5353694979487920768" 18.16785 1.89492 1.24792 0.14197 1.05970 0.14028 0.67
"Gaia EDR3 5353695323089798400" 18.23465 1.58781 1.24195 0.13852 1.08952 0.14552 0.69
"Gaia EDR3 5353694979492412416" 18.23812 1.58763 1.24170 0.13848 1.08868 0.14514 0.70
"Gaia EDR3 5353695391807172736" 18.25529 1.37435 1.23700 0.13669 1.09476 0.13780 0.66
"Gaia EDR3 5353694983787479168" 18.31503 1.25640 1.23240 0.13498 1.08898 0.13204 0.62
"Gaia EDR3 5353694979487916032" 18.33312 1.91164 1.24292 0.13922 1.04849 0.13807 0.66
"Gaia EDR3 5353695155607156864" 18.38269 1.50738 1.23355 0.13404 1.07909 0.13335 0.70
"Gaia EDR3 5353694846369503616" 18.43857 1.81331 1.23811 0.13539 1.05307 0.13583 0.68
"Gaia EDR3 5353695155586110976" 18.51694 1.75352 1.23219 0.13150 1.05440 0.13355 0.68
"Gaia EDR3 5353694537131917440" 18.53661 1.48110 1.22368 0.12849 1.06305 0.12527 0.69
"Gaia EDR3 5353695361765629824" 18.54104 1.73513 1.23061 0.13038 1.05203 0.13207 0.69
"Gaia EDR3 5353694910772895104" 18.55637 1.72791 1.22963 0.12994 1.05030 0.13210 0.69
"Gaia EDR3 5353695323087673984" 18.59116 1.67854 1.22661 0.12851 1.04795 0.12650 0.70
"Gaia EDR3 5353694979487919872" 18.60300 1.63668 1.22467 0.12782 1.04690 0.12334 0.71
"Gaia EDR3 5353694842051008128" 18.60773 1.61656 1.22380 0.12755 1.04815 0.12399 0.71
"Gaia EDR3 5353695357447219328" 18.61441 1.64284 1.22441 0.12771 1.04543 0.12307 0.71
"Gaia EDR3 5353694983808492288" 18.61573 1.59193 1.22285 0.12713 1.04708 0.12583 0.72
"Gaia EDR3 5353694983787440128" 18.62146 1.53304 1.22103 0.12662 1.05399 0.12705 0.72
"Gaia EDR3 5353694983808492032" 18.62370 1.68129 1.22517 0.12777 1.04336 0.12439 0.70
"Gaia EDR3 5353694979487913344" 18.63092 1.55570 1.22097 0.12651 1.05036 0.12757 0.72
"Gaia EDR3 5353694979492413184" 18.63234 1.61359 1.22249 0.12683 1.04442 0.12724 0.71
"Gaia EDR3 5353695288729209344" 18.63313 1.69490 1.22475 0.12750 1.03955 0.12564 0.69
"Gaia EDR3 5353694979492412544" 18.64876 1.94984 1.23062 0.13098 1.02002 0.12779 0.61
"Gaia EDR3 5353694949448723712" 18.66746 2.02510 1.23071 0.13114 1.01297 0.12698 0.58
"Gaia EDR3 5353694532815816064" 18.67315 1.62489 1.22024 0.12542 1.04014 0.12679 0.71
"Gaia EDR3 5353694949427694080" 18.68372 1.48626 1.21568 0.12358 1.04906 0.12534 0.71
"Gaia EDR3 5353694949427658496" 18.68782 1.65959 1.22074 0.12566 1.03509 0.12481 0.70
"Gaia EDR3 5353694983787461504" 18.70406 1.61947 1.21845 0.12441 1.03706 0.12474 0.71
"Gaia EDR3 5353695155586051712" 18.72183 1.55916 1.21532 0.12352 1.03956 0.12549 0.72
"Gaia EDR3 5353694983787464064" 18.73709 1.58328 1.21463 0.12274 1.03671 0.12397 0.72
"Gaia EDR3 5353694915068035840" 18.77939 1.40917 1.20700 0.11968 1.03844 0.12071 0.65
"Gaia EDR3 5353695357448697088" 18.78995 1.36530 1.20525 0.11934 1.03506 0.11989 0.63
"Gaia EDR3 5353694979491565312" 18.83543 1.58457 1.20621 0.11835 1.02206 0.11724 0.70
"Gaia EDR3 5353694983787520896" 18.86312 1.61406 1.20494 0.11738 1.02080 0.11681 0.70
"Gaia EDR3 5353694983787433728" 18.90626 1.69746 1.20356 0.11602 1.00885 0.11669 0.68
"Gaia EDR3 5353695293025177600" 18.92607 1.50396 1.19724 0.11453 1.01323 0.11537 0.68
"Gaia EDR3 5353695155586109696" 18.93878 1.64252 1.19943 0.11468 1.00624 0.11539 0.71
"Gaia EDR3 5353694915068020096" 18.94288 1.56910 1.19733 0.11405 1.00873 0.11273 0.72
"Gaia EDR3 5353695361765627648" 18.94662 1.56015 1.19700 0.11392 1.01129 0.11258 0.71
"Gaia EDR3 5353694983787488512" 18.95934 1.87701 1.20637 0.11783 0.99344 0.11663 0.61
"Gaia EDR3 5353694915068034816" 18.97682 1.58726 1.19543 0.11385 1.00833 0.11338 0.73
"Gaia EDR3 5353694846348376704" 18.97912 1.63892 1.19618 0.11343 1.00475 0.11365 0.72
"Gaia EDR3 5353695396104482176" 18.98596 1.57118 1.19435 0.11359 1.00549 0.11440 0.72
"Gaia EDR3 5353695288727613184" 18.99251 1.53451 1.19309 0.11326 1.00549 0.11536 0.71
"Gaia EDR3 5353694915067969792" 19.01959 1.57036 1.19135 0.11299 1.00265 0.11501 0.72
"Gaia EDR3 5353695357449535104" 19.03919 1.55719 1.18961 0.11266 0.99651 0.11569 0.71
"Gaia EDR3 5353694846348381184" 19.04054 1.67781 1.19290 0.11289 0.99523 0.11281 0.70
"Gaia EDR3 5353694880710287488" 19.05189 1.72317 1.19323 0.11286 0.99184 0.11405 0.68
"Gaia EDR3 5353695185648727040" 19.06319 1.68917 1.19058 0.11213 0.98952 0.11260 0.70
"Gaia EDR3 5353694915068051328" 19.06524 1.47195 1.18501 0.11057 0.99710 0.11315 0.65
"Gaia EDR3 5353695189945919360" 19.07337 1.61536 1.18789 0.11118 0.99256 0.10978 0.72
"Gaia EDR3 5353695293025224960" 19.10004 1.58956 1.18416 0.11037 0.98860 0.10973 0.71
"Gaia EDR3 5353694880733588480" 19.10199 1.59556 1.18416 0.11039 0.99007 0.10989 0.71
"Gaia EDR3 5353694983787435648" 19.10573 1.55028 1.18245 0.11004 0.99363 0.10909 0.69
"Gaia EDR3 5353694983787479680" 19.13231 1.59753 1.18109 0.10924 0.98673 0.11051 0.71
"Gaia EDR3 5353694983787481984" 19.13814 1.68583 1.18269 0.10969 0.98414 0.10724 0.69
"Gaia EDR3 5353695293025191424" 19.14328 1.54322 1.17841 0.10868 0.98860 0.11065 0.68
"Gaia EDR3 5353694159153769600" 19.15338 1.59698 1.17933 0.10871 0.98690 0.10954 0.71
"Gaia EDR3 5353695567903086592" 19.17941 1.62654 1.17752 0.10839 0.97925 0.11049 0.71
"Gaia EDR3 5353694983787497856" 19.19186 1.58338 1.17527 0.10765 0.98152 0.11238 0.68
"Gaia EDR3 5353695293025199872" 19.19373 1.65403 1.17685 0.10814 0.97669 0.10991 0.71
"Gaia EDR3 5353695327385014272" 19.21514 1.55613 1.17243 0.10700 0.97874 0.11035 0.67
"Gaia EDR3 5353694537110973824" 19.22555 1.53420 1.17101 0.10651 0.97599 0.10988 0.67
"Gaia EDR3 5353695293025252480" 19.25529 1.69283 1.17151 0.10671 0.96430 0.10974 0.69
"Gaia EDR3 5353695327385054720" 19.26268 1.57060 1.16774 0.10565 0.96963 0.10963 0.69
"Gaia EDR3 5353695052506745216" 19.27633 1.63308 1.16731 0.10565 0.96579 0.10918 0.70
"Gaia EDR3 5353694915068025856" 19.31082 1.65368 1.16399 0.10487 0.96070 0.10859 0.71
"Gaia EDR3 5353694983787481856" 19.31341 1.68053 1.16421 0.10478 0.95947 0.10888 0.71
"Gaia EDR3 5353695361744703872" 19.31795 1.61493 1.16262 0.10447 0.95923 0.10843 0.71
"Gaia EDR3 5353695018146990464" 19.32328 2.00147 1.17364 0.10970 0.94373 0.10219 0.55
"Gaia EDR3 5353694846348368000" 19.32534 1.29826 1.15750 0.10252 0.95403 0.10977 0.54
"Gaia EDR3 5353694949427643904" 19.33385 1.70119 1.16270 0.10432 0.95559 0.10619 0.70
"Gaia EDR3 5353694949427670016" 19.33953 1.52864 1.16004 0.10349 0.95481 0.10845 0.67
"Gaia EDR3 5353694983808499840" 19.35193 1.63198 1.16016 0.10371 0.95561 0.11034 0.70
"Gaia EDR3 5353694949427639040" 19.35244 1.50586 1.15858 0.10303 0.95403 0.10915 0.65
"Gaia EDR3 5353695052506763008" 19.35746 1.52697 1.15823 0.10304 0.95323 0.10694 0.66
"Gaia EDR3 5353694949427619584" 19.38079 1.58638 1.15558 0.10202 0.94791 0.10399 0.68
"Gaia EDR3 5353694983787463680" 19.42094 1.61531 1.15145 0.10090 0.93973 0.10275 0.69
"Gaia EDR3 5353694983808490752" 19.42287 1.56188 1.15049 0.10078 0.94171 0.10337 0.67
"Gaia EDR3 5353694983787522432" 19.43315 1.53314 1.14892 0.10056 0.93997 0.10260 0.66
"Gaia EDR3 5353695361765638144" 19.43868 1.38192 1.14736 0.10018 0.94239 0.10472 0.56
"Gaia EDR3 5353694915067975040" 19.44868 1.49996 1.14680 0.10019 0.93740 0.10419 0.63
"Gaia EDR3 5353694983787527552" 19.46412 1.63322 1.14583 0.09933 0.93708 0.10381 0.69
"Gaia EDR3 5353695189945923200" 19.46936 1.78140 1.14831 0.10076 0.93410 0.10329 0.66
"Gaia EDR3 5353694983787439744" 19.47455 1.72049 1.14675 0.10029 0.93698 0.10228 0.69
"Gaia EDR3 5353694949427648768" 19.54163 1.69955 1.13738 0.09764 0.92940 0.10091 0.70
"Gaia EDR3 5353694846348383360" 19.54930 1.44538 1.13455 0.09598 0.92739 0.10123 0.58
"Gaia EDR3 5353695499183797120" 19.56625 1.71635 1.13423 0.09681 0.92690 0.10096 0.70
"Gaia EDR3 5353694571472660736" 19.59493 1.55271 1.12931 0.09461 0.92278 0.10091 0.64
"Gaia EDR3 5353694983787506560" 19.60140 1.54350 1.12858 0.09467 0.92307 0.10085 0.63
"Gaia EDR3 5353694983787444992" 19.61943 1.55459 1.12649 0.09431 0.92168 0.10045 0.63
"Gaia EDR3 5353694846348317952" 19.63138 1.56772 1.12499 0.09359 0.91943 0.10197 0.64
"Gaia EDR3 5353694846351607680" 19.66168 1.26991 1.11769 0.09302 0.91041 0.10048 0.52
"Gaia EDR3 5353695361765643264" 19.67835 1.62920 1.11850 0.09296 0.91172 0.09615 0.66
"Gaia EDR3 5353694983787516544" 19.74222 1.63426 1.11046 0.09172 0.90101 0.09644 0.67
"Gaia EDR3 5353695361744703360" 19.76131 1.48914 1.10671 0.09097 0.89817 0.09861 0.57
"Gaia EDR3 5353695361744670208" 19.78124 1.72756 1.10440 0.09217 0.89818 0.09446 0.70
"Gaia EDR3 5353694983787453696" 19.81855 1.64877 1.10050 0.09022 0.88847 0.09678 0.68
"Gaia EDR3 5353694983787518336" 19.82098 1.62711 1.10006 0.08990 0.88791 0.09696 0.67
"Gaia EDR3 5353694846348389120" 19.84057 1.63756 1.09783 0.08970 0.88712 0.09633 0.68
"Gaia EDR3 5353695189945893120" 19.85736 1.57527 1.09576 0.08905 0.88192 0.09519 0.63
"Gaia EDR3 5353694949448728320" 19.86365 1.77839 1.09481 0.09037 0.88893 0.09515 0.71
"Gaia EDR3 5353695293027160448" 19.87926 1.73551 1.09331 0.08994 0.88413 0.09511 0.71
"Gaia EDR3 5353694846348354048" 19.87929 1.73713 1.09340 0.08998 0.88405 0.09539 0.71
"Gaia EDR3 5353695052506797440" 19.90869 1.60371 1.09058 0.08876 0.88042 0.09672 0.65
"Gaia EDR3 5353695361744739200" 19.91947 1.56202 1.08910 0.08855 0.87668 0.09633 0.62
"Gaia EDR3 5353695361744661120" 19.91975 1.51266 1.08911 0.08799 0.87628 0.09670 0.59
"Gaia EDR3 5353694777631069696" 19.92160 1.56094 1.08898 0.08857 0.87706 0.09644 0.62
"Gaia EDR3 5353695361744732032" 19.93260 1.60904 1.08827 0.08844 0.87687 0.09609 0.65
"Gaia EDR3 5353695293025183104" 19.96713 1.64629 1.08516 0.08808 0.87140 0.09581 0.66
"Gaia EDR3 5353694949427661952" 20.01039 1.53128 1.08035 0.08765 0.86493 0.09311 0.58
"Gaia EDR3 5353695052506822912" 20.03995 1.38940 1.07729 0.08726 0.86029 0.09341 0.53
"Gaia EDR3 5353694537112918912" 20.04932 1.59422 1.07536 0.08753 0.86058 0.09293 0.61
"Gaia EDR3 5353694915067991296" 20.05273 1.46550 1.07523 0.08719 0.86107 0.09187 0.56
"Gaia EDR3 5353694983787503616" 20.09486 1.74080 1.06866 0.08723 0.85690 0.09642 0.69
"Gaia EDR3 5353695052509944704" 20.14229 1.60482 1.06233 0.08650 0.84591 0.09292 0.63
"Gaia EDR3 5353695327385020288" 20.17710 1.58750 1.05711 0.08517 0.84342 0.09241 0.61
"Gaia EDR3 5353694983787480960" 20.18122 1.46296 1.05685 0.08582 0.84209 0.09442 0.55
"Gaia EDR3 5353694983789513984" 20.23533 1.73329 1.04891 0.08640 0.83525 0.09201 0.68
"Gaia EDR3 5353695293050461568" 20.30243 1.52162 1.03968 0.08581 0.82199 0.09022 0.57
"Gaia EDR3 5353694880712709888" 20.33335 1.87067 1.03364 0.08709 0.81591 0.08858 0.68
"Gaia EDR3 5353695327388075648" 20.36169 1.65651 1.03273 0.08634 0.81079 0.08975 0.61
"Gaia EDR3 5353695602265848448" 20.39732 1.41683 1.02848 0.08651 0.80996 0.08945 0.50
"Gaia EDR3 5353695052509957376" 20.48156 1.60533 1.01836 0.08586 0.79386 0.08821 0.50
"Gaia EDR3 5353695430467307136" 20.53769 1.62092 1.01304 0.08652 0.79002 0.08758 0.45
"Gaia EDR3 5353695567906097408" 20.69824 1.93027 1.00306 0.08778 0.79000 0.08598 0.42
"Gaia EDR3 5353695396108773632" 20.70812 1.31889 1.00509 0.08803 0.79453 0.08736 0.40
"Gaia EDR3 5353695361747704448" 20.76665 1.16875 1.00600 0.08811 0.79739 0.08841 0.43
"Gaia EDR3 5353694777633471616" 20.79761 1.92007 1.00051 0.08798 0.78767 0.08651 0.41
