ID MP sel
"Gaia EDR3 5857909438438268416" 1.0 1
"Gaia EDR3 5857909747673533184" 1.0 1
"Gaia EDR3 5857909747673520384" 1.0 1
"Gaia EDR3 5857909708953283200" 1.0 1
"Gaia EDR3 5857909708948518400" 1.0 1
"Gaia EDR3 5857909708948517888" 1.0 1
"Gaia EDR3 5857909713297191808" 1.0 1
"Gaia EDR3 5857909747673504640" 1.0 1
"Gaia EDR3 5857909713313754880" 1.0 1
"Gaia EDR3 5857909678953999616" 1.0 1
"Gaia EDR3 5857909816393000192" 1.0 1
"Gaia EDR3 5857909644594275456" 1.0 1
"Gaia EDR3 5857909644594240384" 1.0 1
"Gaia EDR3 5857909644594259968" 1.0 1
"Gaia EDR3 5857909816393044608" 1.0 1
"Gaia EDR3 5857909747673504256" 1.0 1
"Gaia EDR3 5857909404076053632" 1.0 1
"Gaia EDR3 5857909713297375872" 1.0 1
"Gaia EDR3 5857909747656997248" 1.0 1
"Gaia EDR3 5857909816393015808" 1.0 1
"Gaia EDR3 5857912633893969024" 1.0 1
"Gaia EDR3 5857909713297317248" 1.0 1
"Gaia EDR3 5857909713313770496" 1.0 1
"Gaia EDR3 5857912771330538880" 1.0 1
"Gaia EDR3 5857909644594284928" 1.0 1
"Gaia EDR3 5857909713297412992" 1.0 1
"Gaia EDR3 5857909713313757824" 1.0 1
"Gaia EDR3 5857912698245769088" 1.0 1
"Gaia EDR3 5857909816393022464" 1.0 1
"Gaia EDR3 5857909644577680768" 1.0 1
"Gaia EDR3 5857909713297288192" 1.0 1
"Gaia EDR3 5857912668251727872" 1.0 1
"Gaia EDR3 5857909816393040128" 1.0 1
"Gaia EDR3 5857909747673514240" 1.0 1
"Gaia EDR3 5857909644594266624" 1.0 1
"Gaia EDR3 5857909713297388160" 1.0 1
"Gaia EDR3 5857909610234518016" 1.0 1
"Gaia EDR3 5857909713297325312" 1.0 1
"Gaia EDR3 5857909713313770368" 1.0 1
"Gaia EDR3 5857912633891495808" 1.0 1
"Gaia EDR3 5857909743308243072" 1.0 1
"Gaia EDR3 5857909816376780160" 1.0 1
"Gaia EDR3 5857909713297294208" 1.0 1
"Gaia EDR3 5857909644594255616" 1.0 1
"Gaia EDR3 5857909713313782528" 1.0 1
"Gaia EDR3 5857909644577778944" 1.0 1
"Gaia EDR3 5857909713313759232" 1.0 1
"Gaia EDR3 5857909708953282560" 1.0 1
"Gaia EDR3 5857909713297220864" 1.0 1
"Gaia EDR3 5857909708953281664" 1.0 1
"Gaia EDR3 5857909708953283584" 1.0 1
"Gaia EDR3 5857909708948520064" 1.0 1
"Gaia EDR3 5857909708953287680" 1.0 1
"Gaia EDR3 5857912633891537408" 1.0 1
"Gaia EDR3 5857909644577830400" 1.0 1
"Gaia EDR3 5857909816376670720" 1.0 1
"Gaia EDR3 5857909644594245632" 1.0 1
"Gaia EDR3 5857912629545050880" 1.0 1
"Gaia EDR3 5857909438419187584" 1.0 1
"Gaia EDR3 5857909644577794048" 1.0 1
"Gaia EDR3 5857909713313755648" 1.0 1
"Gaia EDR3 5857909644577796736" 1.0 1
"Gaia EDR3 5857909816376874496" 1.0 1
"Gaia EDR3 5857912766965262336" 1.0 1
"Gaia EDR3 5857909674588755200" 1.0 1
"Gaia EDR3 5857909640233811456" 1.0 1
"Gaia EDR3 5857909713313769984" 1.0 1
"Gaia EDR3 5857909713297289856" 1.0 1
"Gaia EDR3 5857912668235063168" 1.0 1
"Gaia EDR3 5857909713297292032" 1.0 1
"Gaia EDR3 5857909644577692544" 1.0 1
"Gaia EDR3 5857912702611035648" 1.0 1
"Gaia EDR3 5857909640233808128" 1.0 1
"Gaia EDR3 5857909743327023744" 1.0 1
"Gaia EDR3 5857909816393029376" 1.0 1
"Gaia EDR3 5857909713297211136" 1.0 1
"Gaia EDR3 5857912668235090432" 1.0 1
"Gaia EDR3 5857909674593538048" 1.0 1
"Gaia EDR3 5857909644577718400" 1.0 1
"Gaia EDR3 5857909713299590912" 1.0 1
"Gaia EDR3 5857909713297354752" 1.0 1
"Gaia EDR3 5857909812027741952" 1.0 1
"Gaia EDR3 5857909713297421952" 1.0 1
"Gaia EDR3 5857909713297333632" 1.0 1
"Gaia EDR3 5857909713297326976" 1.0 1
"Gaia EDR3 5857909644594288896" 1.0 1
"Gaia EDR3 5857909438435804672" 1.0 1
"Gaia EDR3 5857909644577623424" 1.0 1
"Gaia EDR3 5857909747657057920" 1.0 1
"Gaia EDR3 5857909713297352832" 1.0 1
"Gaia EDR3 5857912668251725696" 1.0 1
"Gaia EDR3 5857909678939843200" 1.0 1
"Gaia EDR3 5857909644594252544" 1.0 1
"Gaia EDR3 5857909713313761536" 1.0 1
"Gaia EDR3 5857909644594263168" 1.0 1
"Gaia EDR3 5857909713297289472" 1.0 1
"Gaia EDR3 5857912663886021760" 1.0 1
"Gaia EDR3 5857909678954000640" 1.0 1
"Gaia EDR3 5857912633875084544" 1.0 1
"Gaia EDR3 5857909713297467648" 1.0 1
"Gaia EDR3 5857909610234501376" 1.0 1
"Gaia EDR3 5857909713297412864" 1.0 1
