# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 5985414819748337024" 14.14931 2.13386 1.29939 0.08463 1.11369 0.12213 0.50
"Gaia EDR3 5985413479718554368" 14.23996 1.72687 1.29979 0.08469 1.11538 0.12331 0.50
"Gaia EDR3 5985413307885853312" 15.44389 3.40451 1.29661 0.08350 1.10488 0.11350 0.49
"Gaia EDR3 5985413303550952960" 15.52625 2.28018 1.29940 0.08447 1.11835 0.12454 0.51
"Gaia EDR3 5985413410999175808" 16.02521 1.10689 1.30132 0.08495 1.12958 0.12285 0.50
"Gaia EDR3 5985413582797782144" 16.03222 2.61047 1.29789 0.08396 1.11571 0.12343 0.50
"Gaia EDR3 5985413204840594432" 16.09081 2.72037 1.29691 0.08346 1.11611 0.12519 0.50
"Gaia EDR3 5985413239200308096" 16.54723 2.19260 1.29873 0.08418 1.11841 0.12159 0.50
"Gaia EDR3 5985413200471731840" 16.58085 2.22383 1.29847 0.08410 1.11488 0.12006 0.50
"Gaia EDR3 5985413273526191104" 16.58265 2.44729 1.29558 0.08277 1.10999 0.11960 0.49
"Gaia EDR3 5985412483286065792" 16.61343 2.30879 1.29725 0.08378 1.10839 0.11900 0.49
"Gaia EDR3 5985413170446889856" 16.64640 2.18021 1.29885 0.08455 1.11953 0.12157 0.50
"Gaia EDR3 5985412792489718784" 16.78959 2.11499 1.29927 0.08463 1.11597 0.12124 0.50
"Gaia EDR3 5985413307919838720" 16.83857 2.19327 1.29773 0.08398 1.11299 0.12006 0.49
"Gaia EDR3 5985413410999050240" 16.93871 2.18410 1.29730 0.08384 1.10691 0.11759 0.49
"Gaia EDR3 5985414746659979520" 16.96446 2.08224 1.29910 0.08429 1.11555 0.11808 0.51
"Gaia EDR3 5985413273560103040" 16.96807 2.30321 1.29463 0.08262 1.10250 0.11891 0.48
"Gaia EDR3 5985413307919837056" 17.00771 2.26497 1.29502 0.08277 1.10236 0.11892 0.48
"Gaia EDR3 5985413269200491648" 17.03549 2.27042 1.29473 0.08267 1.10228 0.11859 0.48
"Gaia EDR3 5985414819748350848" 17.05097 2.07764 1.29890 0.08431 1.11310 0.11642 0.51
"Gaia EDR3 5985413307919838592" 17.06005 2.09898 1.29843 0.08415 1.10918 0.11576 0.51
"Gaia EDR3 5985413204840742272" 17.07662 1.50375 1.30114 0.08475 1.12444 0.11772 0.51
"Gaia EDR3 5985413342279598720" 17.09179 1.35143 1.30111 0.08475 1.12876 0.12010 0.51
"Gaia EDR3 5985413307919842688" 17.11243 2.10906 1.29811 0.08412 1.10581 0.11903 0.51
"Gaia EDR3 5985413204840621696" 17.13863 2.21264 1.29517 0.08283 1.10442 0.12070 0.49
"Gaia EDR3 5985413376639329024" 17.14895 2.11628 1.29762 0.08383 1.10475 0.11942 0.50
"Gaia EDR3 5985413170480869888" 17.20663 2.15211 1.29613 0.08323 1.10201 0.12077 0.49
"Gaia EDR3 5985413200471003520" 17.26243 2.22131 1.29401 0.08223 1.09990 0.11899 0.48
"Gaia EDR3 5985414815379872000" 17.26545 2.25267 1.29329 0.08191 1.09970 0.11938 0.48
"Gaia EDR3 5985412483251888000" 17.27607 1.30783 1.30074 0.08470 1.14593 0.12658 0.51
"Gaia EDR3 5985413170480845824" 17.28790 1.48605 1.30051 0.08476 1.13478 0.12370 0.51
"Gaia EDR3 5985413307919831424" 17.33142 2.11630 1.29622 0.08313 1.10449 0.11917 0.48
"Gaia EDR3 5985413342279595520" 17.35518 1.82454 1.29901 0.08444 1.12636 0.12385 0.52
"Gaia EDR3 5985413514078297472" 17.38877 1.70775 1.29915 0.08442 1.13072 0.12632 0.52
"Gaia EDR3 5985413307886018048" 17.39445 2.11901 1.29511 0.08261 1.10380 0.12004 0.48
"Gaia EDR3 5985413273560081536" 17.42313 1.71890 1.29878 0.08434 1.13434 0.13008 0.53
"Gaia EDR3 5985412517645814784" 17.56926 2.15879 1.29192 0.08166 1.09135 0.11720 0.47
"Gaia EDR3 5985412478926509952" 17.58276 2.18480 1.29143 0.08133 1.09018 0.11722 0.46
"Gaia EDR3 5985413204840601344" 17.59051 1.81350 1.29663 0.08359 1.14333 0.13073 0.56
"Gaia EDR3 5985413273560088320" 17.66801 2.14248 1.29113 0.08137 1.09342 0.11533 0.47
"Gaia EDR3 5985413234831895296" 17.69867 1.95564 1.29357 0.08267 1.11788 0.12473 0.53
"Gaia EDR3 5985413273560080000" 17.73037 1.86033 1.29618 0.08343 1.14087 0.12835 0.58
"Gaia EDR3 5985412483287302400" 17.73558 1.91186 1.29485 0.08312 1.12922 0.12796 0.56
"Gaia EDR3 5985412375838426112" 17.75017 2.08756 1.29113 0.08154 1.09409 0.11641 0.47
"Gaia EDR3 5985413307885986432" 17.75027 1.75057 1.29839 0.08391 1.15448 0.12972 0.58
"Gaia EDR3 5985413101761524224" 17.76796 1.77249 1.29823 0.08395 1.15441 0.12818 0.59
"Gaia EDR3 5985412483286063232" 17.77195 1.90850 1.29532 0.08330 1.13104 0.12785 0.56
"Gaia EDR3 5985413303550156416" 17.82289 1.76774 1.29885 0.08404 1.15474 0.12691 0.59
"Gaia EDR3 5985413200481011328" 17.89167 1.89415 1.29650 0.08370 1.12791 0.12766 0.58
"Gaia EDR3 5985413136121116672" 17.89339 2.02321 1.29196 0.08168 1.10199 0.11598 0.49
"Gaia EDR3 5985413410999069696" 17.94336 1.41828 1.29916 0.08421 1.14524 0.11704 0.52
"Gaia EDR3 5985413239166247808" 17.95050 1.89423 1.29689 0.08368 1.12550 0.12681 0.57
"Gaia EDR3 5985413166112412416" 17.95235 2.07251 1.29083 0.08133 1.09488 0.11383 0.47
"Gaia EDR3 5985413131761537408" 17.96096 1.82109 1.29871 0.08426 1.13763 0.12398 0.59
"Gaia EDR3 5985413204840599424" 17.97641 1.87883 1.29750 0.08408 1.12519 0.12422 0.57
"Gaia EDR3 5985413239200348032" 17.99100 2.06564 1.29094 0.08146 1.09297 0.11612 0.47
"Gaia EDR3 5985413131752669696" 17.99468 1.89781 1.29687 0.08387 1.12030 0.12249 0.57
"Gaia EDR3 5985413234831480704" 17.99651 1.94731 1.29489 0.08296 1.10938 0.12229 0.52
"Gaia EDR3 5985412513276169600" 18.03016 2.07265 1.29069 0.08131 1.08895 0.11477 0.46
