# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 5985414819748337024" 14.14931 2.13386 1.04559 0.09091 0.89484 0.10631 0.49
"Gaia EDR3 5985413479718554368" 14.23996 1.72687 1.04592 0.09098 0.89626 0.10711 0.49
"Gaia EDR3 5985413307885853312" 15.44389 3.40451 1.04450 0.09051 0.88768 0.10336 0.45
"Gaia EDR3 5985413303550952960" 15.52625 2.28018 1.04586 0.09098 0.89446 0.10828 0.47
"Gaia EDR3 5985413410999175808" 16.02521 1.10689 1.04729 0.09127 0.90310 0.11479 0.50
"Gaia EDR3 5985413582797782144" 16.03222 2.61047 1.04452 0.09041 0.88895 0.10870 0.45
"Gaia EDR3 5985413204840594432" 16.09081 2.72037 1.04416 0.09022 0.88716 0.11026 0.46
"Gaia EDR3 5985413239200308096" 16.54723 2.19260 1.04543 0.09102 0.89325 0.11197 0.45
"Gaia EDR3 5985413200471731840" 16.58085 2.22383 1.04514 0.09090 0.89300 0.11023 0.45
"Gaia EDR3 5985413273526191104" 16.58265 2.44729 1.04387 0.09013 0.88551 0.10845 0.45
"Gaia EDR3 5985412483286065792" 16.61343 2.30879 1.04449 0.09052 0.88972 0.10866 0.45
"Gaia EDR3 5985413170446889856" 16.64640 2.18021 1.04541 0.09106 0.89063 0.11064 0.45
"Gaia EDR3 5985412792489718784" 16.78959 2.11499 1.04566 0.09107 0.88925 0.10905 0.46
"Gaia EDR3 5985413307919838720" 16.83857 2.19327 1.04485 0.09076 0.88681 0.10832 0.45
"Gaia EDR3 5985413410999050240" 16.93871 2.18410 1.04482 0.09070 0.88268 0.10610 0.45
"Gaia EDR3 5985414746659979520" 16.96446 2.08224 1.04573 0.09121 0.88506 0.10796 0.45
"Gaia EDR3 5985413273560103040" 16.96807 2.30321 1.04379 0.09015 0.88014 0.10512 0.46
"Gaia EDR3 5985413307919837056" 17.00771 2.26497 1.04397 0.09036 0.88244 0.10444 0.45
"Gaia EDR3 5985413269200491648" 17.03549 2.27042 1.04386 0.09021 0.88137 0.10388 0.46
