RA_ICRS DE_ICRS _x _y EDR3Name e_Plx PM pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BPmag e_BPmag RPmag e_RPmag BP-RP Plx_corr e_BP-RP
100.31145502667 -16.4869511132 -0.0043 -0.004496 "Gaia EDR3 2946940515360517888" 0.0996 0.87 -0.139 0.09 0.859 0.108 17.688993 0.003067 18.112667 0.015663 17.069298 0.013828 1.043369 0.129211 0.02089361512520033
100.31002118439 -16.49509730722 -0.005675 -0.012642 "Gaia EDR3 2946940480998592640" 0.1355 0.859 -0.1 0.135 0.853 0.153 18.24772 0.00325 18.712105 0.038618 17.57122 0.031001 1.140884 0.144715 0.04952183281139744
100.28506141221 -16.48873290224 -0.029608 -0.00628 "Gaia EDR3 2946940549720261888" 0.0384 0.841 -0.129 0.037 0.831 0.041 15.625237 0.002788 16.354408 0.005985 14.770461 0.004426 1.583947 0.136346 0.0074437692736946115
100.33520408154 -16.47299557761 0.018474 0.009459 "Gaia EDR3 2946940652799463552" 0.0256 0.84 -0.14 0.025 0.828 0.028 15.151368 0.002783 16.00621 0.003729 14.243657 0.003934 1.762553 0.148118 0.005420497855363473
100.31174092305 -16.47564982537 -0.004026 0.006805 "Gaia EDR3 2946940687159206400" 0.0158 0.881 -0.131 0.016 0.871 0.018 14.010428 0.002808 14.763954 0.006095 13.083893 0.004344 1.680061 0.11610100000000001 0.007484608272982627
100.3231049753 -16.44676783345 0.006872 0.035687 "Gaia EDR3 2946947352948442496" 0.0519 0.897 -0.155 0.052 0.883 0.058 16.660429 0.00284 17.422777 0.013125 15.810232 0.005084 1.612545 0.144855 0.014075250654961707
100.33773409 -16.48435963766 0.020899 -0.001906 "Gaia EDR3 2946940412281296640" 0.0153 0.864 -0.17 0.015 0.848 0.017 13.884003 0.002783 14.875096 0.003438 12.900571 0.004023 1.974525 0.128933 0.005291915815656935
100.31999263518 -16.50564768679 0.003886 -0.023193 "Gaia EDR3 2946940274842353280" 0.0352 0.904 -0.101 0.034 0.899 0.038 15.825121 0.002791 16.600996 0.004056 14.960153 0.003991 1.640843 0.12174199999999999 0.005690273894989589
100.28558876465 -16.4880315967 -0.029103 -0.005579 "Gaia EDR3 2946941305634505856" 0.0344 0.921 -0.113 0.033 0.914 0.037 15.486503 0.002787 16.187984 0.004244 14.654157 0.004261 1.533828 0.156901 0.006013955187727957
100.31936167168 -16.47094102672 0.003282 0.011514 "Gaia EDR3 2946940687159203840" 0.028 0.82 -0.092 0.027 0.815 0.031 15.334238 0.002796 16.125689 0.010255 14.416319 0.005168 1.70937 0.161539 0.011483607839002515
100.30697954787 -16.48790774188 -0.008591 -0.005453 "Gaia EDR3 2946940584079996160" 0.0285 0.827 -0.161 0.027 0.812 0.031 15.376355 0.002786 16.207083 0.004557 14.48126 0.003971 1.725822 0.162273 0.0060444263582245744
100.31361452633 -16.49364758709 -0.002229 -0.011192 "Gaia EDR3 2946940511061345536" 0.0811 0.874 -0.193 0.077 0.853 0.088 17.279516 0.00295 17.959381 0.019775 16.450739 0.007905 1.508642 0.124767 0.021296470364828065
100.33620769561 -16.48474373876 0.019435 -0.00229 "Gaia EDR3 2946940412279088640" 0.1749 0.893 -0.095 0.165 0.888 0.194 18.722738 0.00369 19.200436 0.042306 17.96159 0.027668 1.238846 0.185149 0.05055013214621699
100.32414307752 -16.49029415212 0.007866 -0.007839 "Gaia EDR3 2946940515360516352" 0.1182 0.851 -0.18 0.118 0.832 0.132 18.085442 0.003149 18.641005 0.026729 17.383364 0.008897 1.257641 0.100915 0.02817083687077826
100.30919738619 -16.49506778368 -0.006465 -0.012613 "Gaia EDR3 2946940480998592896" 0.1325 0.822 -0.081 0.138 0.818 0.152 18.165525 0.003385 18.515873 0.037358 17.33531 0.021747 1.180563 0.100602 0.04322675297775673
100.32756769809 -16.47733203961 0.011151 0.005123 "Gaia EDR3 2946940614140578688" 0.1638 0.881 -0.198 0.155 0.858 0.182 18.661983 0.003466 19.129753 0.025788 18.010542 0.022457 1.119211 0.116868 0.03419558148357767
100.31844689242 -16.48269637473 0.002404 -0.000241 "Gaia EDR3 2946940515360515200" 0.0788 0.866 -0.197 0.074 0.843 0.086 17.38519 0.002944 17.867374 0.013915 16.685762 0.010029 1.181612 0.121143 0.017152494454160304
100.28298204891 -16.48205360588 -0.031603 0.000399 "Gaia EDR3 2946941301335340032" 0.1337 0.812 -0.083 0.131 0.807 0.153 18.369015 0.003326 18.850546 0.024249 17.733913 0.012024 1.116632 0.159443 0.027066410493451102
100.2981199895 -16.51447231308 -0.017084 -0.032018 "Gaia EDR3 2946940098744462848" 0.1201 0.859 -0.062 0.114 0.856 0.131 18.116404 0.003182 18.637077 0.030256 17.449997 0.012331 1.18708 0.168578 0.03267229861824846
100.3351616033 -16.47179779886 0.018433 0.010656 "Gaia EDR3 2946940648503339776" 0.1017 0.796 -0.127 0.102 0.786 0.116 17.848866 0.003053 18.563972 0.016911 17.020521 0.00918 1.543451 0.136426 0.019241993685686524
