RA_ICRS DE_ICRS _x _y EDR3Name e_Plx PM pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BPmag e_BPmag RPmag e_RPmag BP-RP Plx_corr e_BP-RP
124.7050241284 -47.77444488184 -0.00264 -0.002471 "Gaia EDR3 5516044262248650368" 0.1405 3.808 -2.487 0.152 2.885 0.151 18.77757 0.003317 19.443161 0.030962 18.033028 0.013823 1.410133 0.133728 0.03390753268818007
124.76948602643 -47.79896259546 0.040663 -0.027005 "Gaia EDR3 5516043304472454784" 0.0555 3.75 -2.443 0.059 2.846 0.06 17.040604 0.002878 18.033604 0.019576 16.04807 0.006159 1.985533 0.101359 0.02052201396062287
124.71018456606 -47.77753729605 0.000828 -0.005563 "Gaia EDR3 5516044266545102336" 0.0695 3.791 -2.502 0.074 2.848 0.076 17.57663 0.002904 17.864094 0.010013 17.145401 0.006802 0.718693 0.157076 0.012104849152302559
124.71023999716 -47.7838655424 0.000866 -0.011892 "Gaia EDR3 5516043506329855616" 0.0193 3.767 -2.483 0.022 2.833 0.022 14.91718 0.002777 16.00751 0.004046 13.875875 0.003894 2.131635 0.081858 0.005615456526409941
124.7773312961 -47.79013953115 0.045941 -0.018186 "Gaia EDR3 5516043304472455168" 0.0282 3.755 -2.499 0.031 2.804 0.032 15.805708 0.002788 16.885658 0.008393 14.781034 0.004174 2.104624 0.141327 0.009373618564887309
124.72080529396 -47.75531426513 0.007969 0.016659 "Gaia EDR3 5516044369624316672" 0.0324 3.806 -2.485 0.036 2.883 0.036 15.919583 0.002789 16.786476 0.005671 14.99918 0.004301 1.787296 0.08355 0.007117502511415082
124.69503143233 -47.76344648243 -0.009357 0.008526 "Gaia EDR3 5516044335264571904" 0.0458 3.805 -2.467 0.049 2.898 0.049 16.721395 0.002834 17.07995 0.006059 16.190428 0.005586 0.889523 0.11812600000000001 0.008241048294968304
124.73778980205 -47.79409656354 0.019373 -0.022126 "Gaia EDR3 5516043540686599296" 0.0813 3.779 -2.46 0.088 2.869 0.088 17.695839 0.002933 18.4671 0.010795 16.860516 0.006171 1.606585 0.058843999999999994 0.012434358286618576
124.72824230156 -47.79564677836 0.012959 -0.023675 "Gaia EDR3 5516043441911393536" 0.0469 3.803 -2.477 0.05 2.886 0.05 16.801874 0.002851 17.739813 0.011542 15.841253 0.004866 1.89856 0.16860699999999998 0.012525802169921094
124.72908597333 -47.76331277528 0.013534 0.008659 "Gaia EDR3 5516043613710076800" 0.051 3.782 -2.441 0.057 2.888 0.055 16.764044 0.002853 17.728725 0.00847 15.801887 0.004407 1.926838 0.162253 0.009547908095494008
124.72281882217 -47.78443859935 0.009318 -0.012466 "Gaia EDR3 5516043506326919040" 0.1257 3.813 -2.456 0.136 2.917 0.146 18.56992 0.003241 19.48143 0.041289 17.69479 0.019267 1.78664 0.08702399999999999 0.04556312994077558
124.65481765286 -47.77012121739 -0.036384 0.00184 "Gaia EDR3 5516038631547992960" 0.0417 3.84 -2.575 0.045 2.848 0.046 16.615358 0.002822 17.513464 0.006441 15.683473 0.004618 1.829991 0.111459 0.007925427748708582
124.70133387831 -47.77399204749 -0.00512 -0.002018 "Gaia EDR3 5516044266545099136" 0.052 3.727 -2.441 0.056 2.816 0.057 16.865112 0.002836 17.662449 0.008036 15.969698 0.00466 1.692751 0.028337 0.009289396966434365
124.7046662425 -47.80974722055 -0.002878 -0.037773 "Gaia EDR3 5516043407552383232" 0.0461 3.787 -2.408 0.051 2.923 0.05 16.80255 0.00283 17.712425 0.009397 15.860025 0.004576 1.8524 0.115568 0.010451956037029624
124.67841209747 -47.77783829542 -0.020523 -0.005869 "Gaia EDR3 5516044300904832000" 0.0475 3.893 -2.539 0.054 2.952 0.053 16.827608 0.00283 17.748653 0.009481 15.871442 0.004756 1.877212 0.144574 0.010607021118108514
124.69606577641 -47.75678148098 -0.008663 0.015192 "Gaia EDR3 5516044335252963840" 0.0904 3.742 -2.543 0.103 2.746 0.109 17.965057 0.003027 18.789572 0.035373 17.039238 0.008692 1.750334 0.159297 0.036425265860388724
124.7749804146 -47.76365786366 0.044384 0.008297 "Gaia EDR3 5516043957307476736" 0.2643 3.835 -2.591 0.27 2.828 0.27 19.432055 0.004158 20.087076 0.060777 18.681538 0.026936 1.405539 0.024212 0.06647850648893971
124.66957290926 -47.79287236066 -0.026455 -0.020905 "Gaia EDR3 5516038352366118400" 0.0449 3.886 -2.596 0.049 2.891 0.05 16.740593 0.002825 17.784142 0.008361 15.738623 0.004094 2.045519 0.159951 0.009309519697599872
