RA_ICRS DE_ICRS _x _y EDR3Name e_Plx PM pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BPmag e_BPmag RPmag e_RPmag BP-RP Plx_corr e_BP-RP
297.77495429518 32.23560658436 0.012598 -0.007121 "Gaia EDR3 2033896262839818112" 0.0832 4.869 -2.618 0.078 -4.106 0.093 17.74609 0.002943 18.907263 0.011354 16.71193 0.00559 2.195333 0.068781 0.012655489559870847
297.75975490412 32.2355934411 -0.000259 -0.007135 "Gaia EDR3 2033896232818461696" 0.0502 4.891 -2.623 0.045 -4.129 0.054 16.831915 0.002829 17.962713 0.007853 15.769543 0.004904 2.19317 0.151111 0.009258446143927178
297.73223405965 32.23036875637 -0.023539 -0.012356 "Gaia EDR3 2033899149057823616" 0.1259 4.835 -2.576 0.115 -4.091 0.139 18.4977 0.00309 19.290386 0.02229 17.669895 0.010678 1.620491 0.1329 0.024715658680277974
297.75145925932 32.25462767398 -0.007274 0.0119 "Gaia EDR3 2033899286505766272" 0.0886 4.85 -2.58 0.079 -4.107 0.1 17.920452 0.002965 18.981876 0.013494 16.878546 0.007523 2.103331 0.15740600000000002 0.01544938720467579
297.75097263735 32.24402592466 -0.007686 0.001298 "Gaia EDR3 2033899183418849792" 0.1604 4.848 -2.548 0.145 -4.125 0.178 18.859858 0.003339 19.568546 0.032421 17.984941 0.017853 1.583605 0.125391 0.037011496186995736
297.74458596665 32.24100385245 -0.013089 -0.001723 "Gaia EDR3 2033899187755984128" 0.0635 4.809 -2.539 0.057 -4.084 0.072 17.339937 0.002874 18.478336 0.010635 16.306843 0.004919 2.171493 0.068249 0.0117174991359078
297.75966379793 32.25693400809 -0.000335 0.014206 "Gaia EDR3 2033899290810193152" 0.1048 4.934 -2.607 0.093 -4.189 0.117 18.146055 0.003016 19.37333 0.021742 17.092064 0.006028 2.281265 0.047281000000000004 0.02256216629670121
297.76818578494 32.24535790946 0.006872 0.00263 "Gaia EDR3 2033896335897672960" 0.0862 4.79 -2.539 0.077 -4.062 0.092 17.818687 0.002954 18.964651 0.014988 16.777594 0.006612 2.187057 0.111817 0.01638165705904015
297.7423642179 32.24690617488 -0.014967 0.004179 "Gaia EDR3 2033899187731077120" 0.1258 4.88 -2.596 0.113 -4.133 0.139 18.43254 0.003149 19.123861 0.036528 17.604465 0.020164 1.519396 -0.033099 0.04172387422088222
297.7488081543 32.23713520106 -0.009518 -0.005593 "Gaia EDR3 2033896232818476160" 0.0739 4.772 -2.516 0.066 -4.055 0.087 17.561802 0.002894 18.637281 0.011105 16.571383 0.005809 2.065899 0.158301 0.012532577787510437
297.75556336444 32.2178602344 -0.003805 -0.024868 "Gaia EDR3 2033896129739236096" 0.0429 4.795 -2.652 0.039 -3.994 0.046 16.558142 0.002819 17.765537 0.006766 15.477468 0.004088 2.28807 0.10373 0.007905093294832136
297.75298827553 32.2215399985 -0.005983 -0.021188 "Gaia EDR3 2033896159760563584" 0.1678 4.98 -2.702 0.153 -4.183 0.194 18.938429 0.003413 19.697573 0.024869 18.199286 0.016497 1.498287 0.015376999999999998 0.029843226534676172
297.76167743176 32.24629692417 0.001368 0.003569 "Gaia EDR3 2033896335897681920" 0.0482 4.733 -2.545 0.044 -3.991 0.051 16.730103 0.002829 17.942429 0.008543 15.656612 0.004563 2.285816 0.087159 0.009685237116353941
297.75955205468 32.23217994582 -0.00043 -0.010548 "Gaia EDR3 2033896232793321088" 0.2306 4.875 -2.658 0.202 -4.087 0.258 19.06202 0.004197 "" "" "" "" "" -0.051772 ""
297.75409965797 32.24309949939 -0.005042 0.000371 "Gaia EDR3 2033896335872662016" 0.1858 4.813 -2.627 0.169 -4.033 0.206 19.037874 0.003543 19.74791 0.04023 18.051144 0.023517 1.696766 0.213539 0.046599379706172055
297.75129739107 32.23467330355 -0.007412 -0.008055 "Gaia EDR3 2033896232818470400" 0.0217 4.903 -2.489 0.02 -4.224 0.024 15.10525 0.002822 16.63288 0.004184 13.916806 0.003969 2.716073 0.10717299999999999 0.005767045777519023
297.76017493652 32.24261684892 9.7e-05 -0.000111 "Gaia EDR3 2033896335872602368" 0.1309 5.023 -2.691 0.12 -4.242 0.149 17.500954 0.003151 18.355179 0.011941 16.40721 0.005248 1.947969 0.022405 0.01304335022147301
297.74515713564 32.2725448092 -0.012601 0.029817 "Gaia EDR3 2033899359533837184" 0.5579 4.752 -2.628 0.51 -3.959 0.599 20.300058 0.005934 21.186869 0.068044 19.488733 0.043904 1.698135 0.033979 0.0809786833185129
297.74812566766 32.23579349963 -0.010095 -0.006934 "Gaia EDR3 2033896228480082304" 0.094 4.973 -2.689 0.082 -4.183 0.109 17.98835 0.003012 19.103857 0.014258 16.989613 0.006345 2.114244 0.236842 0.01560607538748932
297.75648014486 32.24073368835 -0.003028 -0.001995 "Gaia EDR3 2033896335872623744" 0.1315 5.022 -2.728 0.12 -4.216 0.152 18.489948 0.003168 19.158733 0.0276 17.573025 0.013077 1.585709 0.184691 0.030541249630622515
297.75888227061 32.2575874831 -0.000996 0.014859 "Gaia EDR3 2033899290810204416" 0.2895 4.957 -2.515 0.253 -4.271 0.327 19.636784 0.004222 20.352114 0.138664 18.876968 0.065922 1.475145 0.041971 0.15353636370580098
297.75945700336 32.2405210514 -0.00051 -0.002207 "Gaia EDR3 2033896331561251200" 0.0605 4.722 -2.449 0.054 -4.038 0.068 17.17031 0.002856 18.21778 0.011147 16.165201 0.005388 2.052578 0.032020999999999994 0.0123808785229482
297.75382660538 32.23878848054 -0.005273 -0.00394 "Gaia EDR3 2033896232793426688" 0.2282 4.789 -2.509 0.199 -4.078 0.246 19.390577 0.003945 20.300728 0.055197 18.509289 0.017923 1.791439 0.246392 0.0580339791673809
297.76425604037 32.24785436483 0.003548 0.005126 "Gaia EDR3 2033896335872598144" 0.1505 4.728 -2.618 0.135 -3.936 0.171 18.760853 0.003338 19.478891 0.028463 17.809736 0.017198 1.669155 0.16058 0.03325527887418778
