RA_ICRS DE_ICRS _x _y EDR3Name e_Plx PM pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BPmag e_BPmag RPmag e_RPmag BP-RP Plx_corr e_BP-RP
105.77701335206 -20.82134425506 -0.000253 -0.002494 "Gaia EDR3 2929388564578945664" 0.0339 1.499 -0.506 0.032 1.411 0.038 15.858279 0.002775 16.601332 0.003719 15.012448 0.003982 1.588883 0.141397 0.005448603949637008
105.80284361792 -20.80003736327 0.023894 0.018811 "Gaia EDR3 2929388770737311616" 0.0825 1.497 -0.522 0.074 1.403 0.09 17.507454 0.002866 17.90593 0.007282 16.97145 0.005335 0.934479 0.143086 0.009027167274400094
105.78042089689 -20.83358030788 0.002932 -0.01473 "Gaia EDR3 2929388255341317632" 0.0284 1.48 -0.506 0.026 1.391 0.03 15.433708 0.00277 16.188969 0.003311 14.574739 0.00395 1.61423 0.152738 0.005154146001036448
105.74829414205 -20.80982299726 -0.027099 0.009025 "Gaia EDR3 2929388530219222016" 0.0316 1.51 -0.524 0.031 1.416 0.036 15.704512 0.002773 16.368097 0.003633 14.901789 0.004216 1.466309 0.146814 0.00556537015839917
105.75586031719 -20.83325050289 -0.020023 -0.014401 "Gaia EDR3 2929388427140034176" 0.0561 1.506 -0.515 0.06 1.416 0.069 16.919619 0.002813 17.318182 0.005606 16.352303 0.004908 0.965879 0.12444899999999999 0.007450885853373409
105.77859625049 -20.80782153873 0.001226 0.011029 "Gaia EDR3 2929388564578914176" 0.0201 1.496 -0.505 0.017 1.408 0.02 14.616939 0.002764 15.394413 0.003082 13.750874 0.003832 1.643539 0.125042 0.004917616089122859
105.78241967328 -20.77145844995 0.004802 0.047392 "Gaia EDR3 2929400796645721600" 0.0306 1.519 -0.517 0.027 1.428 0.032 15.713179 0.002771 16.386879 0.003463 14.917561 0.004022 1.469318 0.149024 0.005307433748997721
105.7712237806 -20.81599470474 -0.005665 0.002856 "Gaia EDR3 2929388564578943616" 0.0343 1.488 -0.491 0.03 1.404 0.035 15.875795 0.002776 16.570251 0.003803 15.051565 0.003952 1.518686 0.169464 0.005484625146716956
105.78509858121 -20.81947508829 0.007304 -0.000625 "Gaia EDR3 2929388358420499968" 0.0791 1.506 -0.519 0.074 1.414 0.091 17.469322 0.002863 17.910116 0.007291 16.864853 0.006045 1.045263 0.16936 0.009471045665606305
105.76976117231 -20.81704499875 -0.007032 0.001805 "Gaia EDR3 2929388457194545024" 0.0263 1.507 -0.541 0.025 1.407 0.029 15.30619 0.002773 16.068796 0.005145 14.412791 0.004075 1.656005 0.13429000000000002 0.006563280429785093
