RA_ICRS DE_ICRS _x _y EDR3Name e_Plx PM pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BPmag e_BPmag RPmag e_RPmag BP-RP Plx_corr e_BP-RP
234.77178544534 -50.0589484617 -0.006545 -0.008564 "Gaia EDR3 5985413200471731840" 0.0587 5.0 -3.945 0.058 -3.073 0.057 16.580854 0.002832 17.723297 0.008531 15.499465 0.004687 2.223832 0.07972699999999999 0.009733752102863522
234.8133225953 -50.05264293078 0.020125 -0.002263 "Gaia EDR3 5985412517645814784" 0.0928 5.034 -3.972 0.097 -3.093 0.081 17.569256 0.002913 18.677315 0.012755 16.518524 0.006114 2.158791 0.090989 0.014144646372391217
234.77141330344 -50.03765329363 -0.006787 0.012731 "Gaia EDR3 5985413303550156416" 0.1115 5.002 -3.912 0.12 -3.117 0.101 17.822895 0.002998 18.595695 0.022561 16.827953 0.008332 1.767742 0.095384 0.024050383468876335
234.74924601331 -50.04745393488 -0.02102 0.002926 "Gaia EDR3 5985413406630589312" 0.1462 5.007 -3.921 0.148 -3.113 0.117 18.168371 0.003202 19.030388 0.019496 17.113724 0.011369 1.916664 0.112708 0.022568743363333282
234.75727822427 -50.04230207619 -0.015864 0.00808 "Gaia EDR3 5985413406630178944" 0.1288 5.053 -3.959 0.13 -3.139 0.118 18.043701 0.002986 18.959007 0.038791 17.126629 0.016567 1.832378 0.11454800000000001 0.04218064923635007
234.80279519571 -50.03332218311 0.013371 0.01706 "Gaia EDR3 5985413273560103040" 0.0696 4.977 -3.954 0.071 -3.023 0.059 16.968073 0.002847 18.201147 0.012877 15.89794 0.004433 2.303207 0.036537 0.01361868635368331
234.79882588105 -50.02209635797 0.010823 0.028287 "Gaia EDR3 5985414815379872000" 0.0812 4.997 -3.967 0.085 -3.039 0.069 17.265448 0.002852 18.469172 0.011683 16.2165 0.00532 2.252672 0.138294 0.012837246161073644
234.78268253979 -50.03021916859 0.000451 0.020165 "Gaia EDR3 5985413342279595520" 0.0854 5.035 -3.937 0.088 -3.139 0.073 17.355183 0.002886 18.253996 0.01151 16.42946 0.007501 1.824535 0.029783999999999998 0.013738453370012215
234.76781136072 -50.03927195091 -0.0091 0.011112 "Gaia EDR3 5985413514044473216" 0.1268 4.994 -3.89 0.119 -3.132 0.107 18.042286 0.003122 "" "" "" "" "" 0.046128 ""
234.8005204507 -50.04694705199 0.011906 0.003436 "Gaia EDR3 5985413273560080000" 0.1023 5.095 -4.046 0.108 -3.097 0.096 17.730366 0.002929 18.642988 0.012543 16.78266 0.008816 1.860329 0.091198 0.01533129821639381
